User,TaskType,Selected_BS,CommDelay_s,Deadline_s,CPU_Time_s,Residual_Deadline_for_MH_s,OnTime_Under_MH
1,URLLC,6G_1,7.548838930782359e-05,6.61960444770481e-05,2.3826e-05,-9.292344830775484e-06,0
2,URLLC,6G_1,7.511155288933003e-05,6.833188388475874e-05,2.3628e-05,-6.7796690045712884e-06,0
3,URLLC,6G_1,3.122566669840625e-05,6.33465411505662e-05,9.966e-06,3.2120874452159945e-05,0
4,URLLC,6G_1,5.355492143913067e-05,5.532753961015508e-05,1.6764e-05,1.7726181710244154e-06,0
5,URLLC,6G_1,5.461895043369953e-05,6.148025453945485e-05,1.7094e-05,6.861304105755322e-06,0
6,URLLC,6G_1,2.7094512676056188e-05,7.688891580044882e-05,8.448e-06,4.9794403124392637e-05,1
7,URLLC,6G_2,5.093181446229388e-05,8.960373222976548e-05,1.6104e-05,3.86719177674716e-05,0
8,URLLC,6G_1,5.227911287139588e-05,7.820969801012314e-05,1.617e-05,2.5930585138727257e-05,0
9,URLLC,6G_1,2.200584209059886e-05,7.966905730779868e-05,6.798e-06,5.766321521719982e-05,1
10,URLLC,6G_2,8.324451345224705e-05,5.04924643461129e-05,2.6268e-05,-3.2752049106134145e-05,0
11,URLLC,6G_2,2.2991590719085735e-05,7.801245291790401e-05,7.194e-06,5.502086219881828e-05,1
12,URLLC,6G_2,6.467602060620667e-05,9.668538579027768e-05,2.046e-05,3.200936518407101e-05,0
13,URLLC,6G_2,4.57104201997564e-05,8.374595281722763e-05,1.4322e-05,3.803553261747123e-05,0
14,URLLC,6G_2,6.763018484325935e-05,7.596372186468339e-05,2.1186e-05,8.333537021424037e-06,0
15,URLLC,6G_1,8.382406161124236e-05,7.777539842368108e-05,2.6268e-05,-6.048663187561271e-06,0
16,URLLC,6G_2,6.88526340129066e-05,6.432071501386639e-05,2.1648e-05,-4.531918999040212e-06,0
17,URLLC,6G_1,5.383107193661698e-05,5.1818277481387725e-05,1.7094e-05,-2.0127944552292574e-06,0
18,URLLC,6G_2,6.593470379040971e-05,5.063997434073724e-05,2.0394e-05,-1.5294729449672465e-05,0
19,URLLC,6G_1,4.43211406623312e-05,6.675508980250547e-05,1.3926e-05,2.2433949140174272e-05,0
20,URLLC,6G_2,5.0293586340985186e-05,7.942958945470575e-05,1.5642e-05,2.9136003113720565e-05,0
21,URLLC,sat1,1.2585526277433478e-05,6.70220419043276e-05,8.712e-06,5.4436515626894126e-05,0
22,URLLC,sat1,1.9097312506775124e-05,8.443837497973682e-05,1.3662e-05,6.53410624729617e-05,0
23,URLLC,sat1,1.6243282084268538e-05,7.341214846333141e-05,1.0494e-05,5.716886637906287e-05,0
24,URLLC,sat1,1.5990821908882778e-05,8.870271019552329e-05,1.089e-05,7.271188828664051e-05,0
