seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,216.00773914502057,171.28076229791137,168.97015707668004,168.8640420527526,168.79876080857144,168.79124072142855
1,167.86802652121696,148.61246253883886,146.22089720760397,146.15867169100716,146.1228118858532,146.09507885759496
2,229.49252832697186,168.7544606262465,168.29011114901044,168.17332105714766,168.07502641035282,167.96190291805632
3,177.9244553779453,167.3687101231724,165.60790995504595,164.19958149201648,163.84710053389733,163.7896266501201
4,186.42906642219072,154.63833075936805,153.48421146193516,153.2863332518623,153.12892141931644,152.77737630782156
5,172.99684075263173,147.89617978865644,146.3744222207602,146.15454581151528,146.0289883962116,146.00710624230217
6,190.52759026056185,172.93099559373968,167.538257492801,167.28638427269496,167.16118044513735,167.0730909544465
7,178.26446240780842,156.6625738299871,145.87521555857782,145.5280187435579,145.21938463429882,145.15455612055524
8,173.90560319427965,143.35596085948166,142.64285914115894,142.52369958024735,142.4758948689166,142.45827727763918
9,214.95344348167885,170.3770252077865,167.98802984603162,167.8966038374159,167.80172795502142,167.75721075967212
average,190.8369755890306,160.18774616251886,157.2992071109605,157.0071201790218,156.86597973575772,156.78654668096368
