seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.5416666666666666,0.32326033934523807,0.7032968363392856,168.79124072142855,0.0,130.0
1,0.45,0.31745899047995785,0.608729495239979,146.09507885759496,0.0,108.0
2,0.525,0.34968252431713603,0.699841262158568,167.96190291805632,0.0,126.0
3,0.5166666666666667,0.3315802220843342,0.6824567777088338,163.7896266501201,0.0,124.0
4,0.475,0.32314480256517975,0.6365724012825899,152.77737630782156,0.0,114.0
5,0.45,0.3167258853525181,0.608362942676259,146.00710624230217,0.0,108.0
6,0.5333333333333333,0.32560909128705423,0.6961378789768605,167.0730909544465,0.0,128.0
7,0.4583333333333333,0.2929546343379604,0.6048106505023135,145.15455612055524,0.0,110.0
8,0.45,0.2871523106469933,0.5935761553234966,142.45827727763918,0.0,108.0
9,0.5416666666666666,0.3146434229972677,0.6989883781653005,167.75721075967212,0.0,130.0
