seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.3,0.12367388744049776,1.9236738874404977,57.71021662321493,0.0,9.0
1,0.32222222222222224,0.10131280680607392,2.034646140139407,61.03938420418222,0.0,9.666666666666668
2,0.3111111111111111,0.10869055444737886,1.9753572211140455,59.26071663342137,0.0,9.333333333333334
3,0.32222222222222224,0.09663570407694272,2.029969037410276,60.89907112230828,0.0,9.666666666666668
4,0.3,0.11295624090821504,1.912956240908215,57.38868722724645,0.0,9.0
