seed,urllc_outage_ratio,average_embb_delay
0,0.3,0.12367388744049776
1,0.32222222222222224,0.10131280680607392
2,0.3111111111111111,0.10869055444737886
3,0.32222222222222224,0.09663570407694272
4,0.3,0.11295624090821504
average,0.3111111111111111,0.10865383873582166
