seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.4166666666666667,0.1727112063720728,0.503022269852703,60.36267238232437,0.0,50.0
1,0.4166666666666667,0.16669901912641458,0.5000161762298739,60.00194114758487,0.0,50.0
2,0.43333333333333335,0.16667594746749884,0.5166713070670828,62.00055684804993,0.0,52.0
3,0.4166666666666667,0.1695875146042286,0.501460423968781,60.17525087625371,0.0,50.0
4,0.4,0.16854895511923756,0.4842744775596188,58.112937307154255,0.0,48.0
5,0.45,0.1545379972076217,0.5272689986038108,63.2722798324573,0.0,54.0
6,0.43333333333333335,0.16469223987029893,0.5156794532684829,61.88153439221794,0.0,52.0
7,0.43333333333333335,0.1737821604846525,0.5202244135756596,62.426929629079154,0.0,52.0
8,0.43333333333333335,0.17350390087453302,0.5200852837705998,62.41023405247198,0.0,52.0
9,0.5166666666666667,0.16329950562787446,0.5983164194806039,71.79797033767247,0.0,62.0
