rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,163658941.11858675,46654346.168319054,117004594.95026769,300000000.0,0.5455298037286225,0.15551448722773017,0.3900153165008923,19,42
1,6G_2,6G,uplink,83174204.56203341,34363206.51601884,48810998.04601457,300000000.0,0.2772473485401114,0.1145440217200628,0.16270332682004857,14,18
2,WiFi_1,WiFi,uplink,17217911.023967043,2445509.879341076,14772401.144625966,160000000.0,0.10761194389979402,0.015284436745881726,0.09232750715391229,4,11
3,WiFi_2,WiFi,uplink,44665500.873392716,12809771.945704263,31855728.927688457,160000000.0,0.2791593804587045,0.08006107466065164,0.19909830579805285,11,29
4,WiFi_3,WiFi,uplink,22748948.692143377,4835717.914525878,17913230.7776175,160000000.0,0.1421809293258961,0.030223236965786736,0.11195769236010937,4,11
5,WiFi_4,WiFi,uplink,15213185.474221628,6517574.832185145,8695610.642036485,160000000.0,0.09508240921388518,0.04073484270115715,0.05434756651272803,7,9
6,Satellite_1,Satellite,uplink,11192113.082816157,4952681.829751759,6239431.253064398,20000000.0,0.5596056541408079,0.24763409148758794,0.3119715626532199,16,18
7,Satellite_2,Satellite,uplink,10511561.631132197,4759485.032453731,5752076.598678466,20000000.0,0.5255780815566098,0.23797425162268654,0.2876038299339233,15,18
8,Satellite_1_down,Satellite,downlink,6074822.069839954,0.0,6074822.069839954,10000000.0,0.6074822069839955,0.0,0.6074822069839955,0,18
9,Satellite_2_down,Satellite,downlink,6560811.207579129,0.0,6560811.207579129,10000000.0,0.6560811207579129,0.0,0.6560811207579129,0,18
