seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.23333333333333334,0.15486226356439223,0.3107644651155294,37.29173581386353,0.0,28.0
1,0.16666666666666666,0.14358411857142855,0.23845872595238096,28.615047114285716,0.0,20.0
2,0.18333333333333332,0.1432308485385287,0.25494875760259766,30.593850912311723,0.0,22.0
3,0.18333333333333332,0.14332902514285714,0.2549978459047619,30.599741508571427,0.0,22.0
4,0.15,0.14494087235654723,0.2224704361782736,26.696452341392835,0.0,18.0
5,0.15,0.14509196708681907,0.22254598354340954,26.705518025209145,0.0,18.0
6,0.16666666666666666,0.15058243651289205,0.2419578849231127,29.034946190773525,0.0,20.0
7,0.15,0.1432632255,0.22163161275,26.59579353,0.0,18.0
8,0.18333333333333332,0.1517827060867501,0.25922468637670837,31.106962365205007,0.0,22.0
9,0.16666666666666666,0.17442348273851077,0.25387840803592204,30.465408964310647,0.0,20.0
