seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.35,0.5081110207434648,0.6040555103717324,144.97332248921578,0.0,84.0
1,0.4083333333333333,0.3959217879787403,0.6062942273227034,145.51061455744883,0.0,98.0
2,0.375,0.4518640804814413,0.6009320402407207,144.22368965777295,0.0,90.0
3,0.35,0.49669847368459163,0.5983492368422958,143.603816842151,0.0,84.0
4,0.36666666666666664,0.4477609481535353,0.5905471407434343,141.73131377842424,0.0,88.0
5,0.36666666666666664,0.4405645167488598,0.5869489250410965,140.86774200986318,0.0,88.0
6,0.375,0.44887359249130493,0.5994367962456525,143.86483109895659,0.0,90.0
7,0.36666666666666664,0.43776452436896024,0.5855489288511467,140.53174292427522,0.0,88.0
8,0.39166666666666666,0.4479513408335106,0.615642337083422,147.75416090002128,0.0,94.0
9,0.375,0.43739592647398057,0.5936979632369902,142.48751117687766,0.0,90.0
