seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,45.94512613449189,33.50800587524759,31.57435660034503,31.447394827196774,30.2088168258472,30.202742930848654
1,44.37453652457046,33.52928786294865,33.45575269106303,31.35575094729588,29.93296172223466,29.648456125887705
2,45.37985092678185,33.947033930958185,31.385392659049426,31.364208774829002,31.339385083207034,31.16160376765164
3,42.93405073591906,34.01954358051073,33.48424663152548,33.346170812009454,33.26042641499436,32.17935982887572
4,46.00135098046172,34.04619380005734,33.19478222980601,29.833787062427053,29.290986048157436,29.258198604248427
average,44.92698306044499,33.8100130099445,32.618906162357796,31.469462484751638,30.806515218888137,30.490072251502433
