rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,79804941.43831925,46866352.05273448,32938589.38558477,300000000.0,0.26601647146106416,0.15622117350911494,0.10979529795194924,20,20
1,6G_2,6G,uplink,107308022.65273112,54411913.24740461,52896109.40532651,300000000.0,0.35769340884243706,0.18137304415801536,0.1763203646844217,20,20
2,WiFi_1,WiFi,uplink,13991913.2262869,0.0,13991913.2262869,160000000.0,0.08744945766429311,0.0,0.08744945766429311,0,10
3,WiFi_2,WiFi,uplink,13894576.91570789,0.0,13894576.91570789,160000000.0,0.08684110572317431,0.0,0.08684110572317431,0,10
4,WiFi_3,WiFi,uplink,13698643.465185145,0.0,13698643.465185145,160000000.0,0.08561652165740716,0.0,0.08561652165740716,0,10
5,WiFi_4,WiFi,uplink,13201731.451619834,0.0,13201731.451619834,160000000.0,0.08251082157262396,0.0,0.08251082157262396,0,10
6,Satellite_1,Satellite,uplink,5912429.37480957,2981503.6525015943,2930925.7223079754,20000000.0,0.2956214687404785,0.1490751826250797,0.14654628611539877,10,10
7,Satellite_2,Satellite,uplink,6394874.311369788,3173572.2424479695,3221302.0689218184,20000000.0,0.3197437155684894,0.15867861212239848,0.16106510344609093,10,10
8,Satellite_1_down,Satellite,downlink,5053954.311154194,0.0,5053954.311154194,10000000.0,0.5053954311154194,0.0,0.5053954311154194,0,10
9,Satellite_2_down,Satellite,downlink,4595693.64327547,0.0,4595693.64327547,10000000.0,0.45956936432754697,0.0,0.45956936432754697,0,10
