rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,92059044.08518471,54351458.64454621,37707585.4406385,300000000.0,0.30686348028394905,0.18117152881515403,0.125691951468795,19,21
1,6G_2,6G,uplink,105426124.6667028,56075362.14468994,49350762.52201286,300000000.0,0.35142041555567605,0.18691787381563313,0.16450254174004286,17,19
2,WiFi_1,WiFi,uplink,14062706.021258576,0.0,14062706.021258576,160000000.0,0.0878919126328661,0.0,0.0878919126328661,0,10
3,WiFi_2,WiFi,uplink,14575294.661168328,3896392.5439987793,10678902.117169548,160000000.0,0.09109559163230205,0.02435245339999237,0.06674313823230968,2,10
4,WiFi_3,WiFi,uplink,11949762.339439955,0.0,11949762.339439955,160000000.0,0.07468601462149972,0.0,0.07468601462149972,0,10
5,WiFi_4,WiFi,uplink,14105773.854565982,1843501.6598018496,12262272.194764132,160000000.0,0.08816108659103739,0.01152188537376156,0.07663920121727583,2,10
6,Satellite_1,Satellite,uplink,6232910.72889233,2028452.9189147819,4204457.809977548,20000000.0,0.3116455364446165,0.10142264594573909,0.2102228904988774,10,10
7,Satellite_2,Satellite,uplink,5898052.252954921,3091352.9389352165,2806699.3140197042,20000000.0,0.29490261264774603,0.15456764694676084,0.14033496570098522,10,10
8,Satellite_1_down,Satellite,downlink,4816200.314367512,0.0,4816200.314367512,10000000.0,0.48162003143675125,0.0,0.48162003143675125,0,10
9,Satellite_2_down,Satellite,downlink,4478460.521580521,0.0,4478460.521580521,10000000.0,0.4478460521580521,0.0,0.4478460521580521,0,10
