-3.19e-04-3.02e-04j,1.75e-05-3.64e-04j,-5.54e-05+8.37e-05j,1.33e-04-4.46e-05j,-4.74e-05-2.76e-05j,1.03e-05+5.30e-06j,-2.67e-06-1.40e-05j,1.31e-06+0.00e+00j
-2.46e-04-1.43e-04j,6.87e-05+9.90e-05j,-2.00e-05+1.24e-04j,1.92e-04+2.46e-04j,4.41e-05+4.11e-05j,1.40e-04+2.61e-05j,9.07e-05-1.20e-04j,1.31e-06+0.00e+00j
-7.57e-04+3.42e-03j,-3.55e-05+4.48e-05j,1.35e-04+7.45e-05j,5.91e-05+1.01e-04j,2.99e-05+6.70e-05j,-6.85e-05+1.77e-05j,-1.65e-06+2.96e-05j,1.31e-06+0.00e+00j
-1.29e-04-1.04e-04j,8.57e-05+1.01e-05j,-4.62e-06-4.02e-05j,3.95e-05-3.12e-05j,8.31e-06-2.34e-05j,1.98e-05-3.93e-06j,-3.17e-05+7.12e-05j,1.31e-06+0.00e+00j
-4.65e-05+1.56e-04j,-2.22e-05+1.03e-05j,-6.66e-07-5.28e-05j,3.40e-05+1.13e-04j,7.75e-05-1.03e-05j,-2.69e-06-4.20e-05j,-6.45e-05+1.42e-05j,1.31e-06+0.00e+00j
-3.09e-05-1.11e-04j,-4.87e-05+2.34e-05j,2.87e-05-5.28e-06j,-2.52e-04+1.61e-05j,2.53e-06+1.53e-05j,9.58e-06+4.13e-06j,1.57e-05+1.11e-06j,1.31e-06+0.00e+00j
-6.99e-05+3.33e-05j,-2.83e-04+4.94e-04j,-5.65e-05-4.09e-05j,-2.12e-05-6.14e-05j,-1.28e-05-1.46e-06j,1.02e-05-3.52e-05j,-7.84e-05+5.94e-06j,1.31e-06+0.00e+00j
4.02e-05+4.83e-05j,3.95e-05+1.61e-05j,-1.35e-04-6.84e-05j,1.53e-05-3.08e-05j,7.06e-05+3.42e-05j,-2.72e-05-1.71e-05j,-2.69e-05-2.14e-05j,1.31e-06+0.00e+00j
-1.26e-05+5.66e-05j,-1.58e-05-5.23e-05j,-1.24e-05-1.61e-05j,-4.49e-05-2.14e-05j,2.89e-05-2.62e-05j,2.13e-05-1.69e-05j,-5.52e-05+4.60e-05j,1.31e-06+0.00e+00j
-1.13e-04+4.00e-06j,2.17e-04-3.66e-04j,-2.00e-05-8.01e-06j,6.73e-06-7.77e-05j,-7.24e-06-1.66e-05j,1.84e-05+5.73e-05j,4.70e-05-6.11e-06j,1.31e-06+0.00e+00j
-3.64e-05+3.67e-05j,-1.59e-04-7.53e-06j,-4.42e-05+9.71e-06j,2.63e-05+2.86e-05j,-2.44e-05-2.27e-05j,-1.35e-05-8.23e-07j,-4.02e-05+1.07e-04j,1.31e-06+0.00e+00j
-1.75e-05-2.65e-04j,-5.90e-04-1.73e-04j,1.25e-05-2.04e-05j,3.20e-05+1.64e-05j,2.91e-06+1.73e-05j,-9.90e-06+4.03e-05j,6.62e-06+3.39e-05j,1.31e-06+0.00e+00j
7.65e-05-1.19e-05j,-1.66e-04+7.54e-05j,1.54e-04+5.56e-05j,1.59e-05-6.12e-05j,-2.64e-05+1.02e-04j,-1.13e-05+5.10e-05j,3.36e-05-1.14e-05j,1.31e-06+0.00e+00j
