-9.44e-05+4.40e-05j,-6.12e-05-4.09e-05j,-1.59e-05+3.36e-05j,-5.20e-05-7.86e-05j,6.98e-06+5.55e-06j,5.76e-06+1.70e-05j,3.47e-07-1.00e-04j,-1.59e-05+7.73e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-1.65e-04+3.95e-05j,-6.52e-05-6.44e-05j,-2.22e-05+4.09e-05j,-1.15e-04+3.25e-04j,-6.24e-06+7.04e-06j,2.11e-05+1.30e-05j,1.28e-04-3.11e-05j,1.19e-05-5.77e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.73e-05+5.57e-05j,-2.34e-06-2.69e-05j,-1.97e-04+7.34e-06j,-1.26e-06-2.27e-05j,1.02e-05+8.14e-05j,1.35e-04+1.83e-05j,-1.30e-05+7.03e-05j,2.04e-05-3.45e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-3.45e-06-2.68e-05j,-6.84e-05-5.73e-05j,4.52e-05-1.76e-05j,2.05e-05+1.03e-05j,1.93e-05+1.85e-05j,-1.78e-05-1.81e-05j,9.52e-05+5.90e-05j,-9.45e-05+9.14e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.24e-04+8.74e-05j,7.91e-04+6.78e-04j,-6.86e-05-5.36e-05j,-5.19e-05-1.14e-04j,3.56e-06-6.36e-05j,-2.00e-05+5.93e-05j,-1.05e-04+4.44e-05j,4.65e-06-3.77e-06j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-7.64e-05+2.01e-05j,2.47e-05-5.88e-05j,-2.82e-05+7.50e-05j,3.51e-05+2.92e-06j,-1.58e-05+2.21e-06j,-5.38e-06+1.21e-05j,5.52e-05+3.26e-05j,-8.28e-05+1.51e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.18e-05-4.09e-05j,5.65e-05+2.04e-05j,-8.40e-05+9.83e-05j,2.41e-05+1.76e-04j,1.45e-05+8.86e-05j,1.29e-04-8.46e-05j,-8.35e-05-6.68e-05j,-8.97e-05-8.54e-06j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
3.90e-05+4.16e-06j,9.97e-06+3.67e-05j,3.12e-05-2.11e-04j,1.83e-05+8.06e-05j,-1.33e-04-3.08e-05j,1.37e-05-2.52e-05j,1.99e-05-6.86e-05j,-4.84e-05-1.12e-04j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.09e-03+4.79e-04j,3.62e-05+5.60e-06j,-3.12e-04-3.38e-04j,5.51e-05-1.09e-04j,-6.66e-05-2.29e-05j,3.79e-05+8.04e-05j,7.87e-05-1.76e-05j,-5.57e-05-1.02e-04j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.22e-04-3.12e-05j,2.14e-05-1.41e-05j,4.51e-04-1.48e-03j,3.47e-04-9.94e-06j,-5.89e-05-5.54e-05j,-1.04e-04+9.57e-05j,-6.03e-05+1.25e-04j,-5.54e-05+7.65e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-4.85e-06-1.69e-05j,1.35e-05-4.38e-05j,2.53e-05+2.36e-04j,1.28e-04+9.14e-06j,1.99e-06+2.13e-06j,9.39e-03-1.56e-04j,-1.79e-05+1.34e-05j,1.85e-04-9.80e-06j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.11e-04-1.01e-04j,-4.52e-05-2.88e-05j,-7.87e-04-2.41e-05j,4.44e-05-5.00e-05j,-3.06e-05-9.78e-05j,4.79e-05+7.14e-06j,3.21e-05-1.73e-05j,-4.94e-06+1.02e-04j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
