-5.50e-05-2.69e-04j,-1.33e-04-1.16e-05j,-2.00e-05+5.44e-06j,-9.69e-05-1.77e-05j,1.03e-05-1.38e-05j,-3.82e-05+3.29e-05j,5.71e-05+2.32e-05j,-1.69e-05-1.52e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.04e-05+5.19e-04j,6.49e-05+2.55e-05j,7.51e-05+1.32e-04j,-3.92e-04-1.40e-04j,-1.11e-05-7.30e-05j,5.71e-05-5.13e-05j,-1.15e-04-1.82e-05j,2.63e-05-3.37e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-4.63e-03+2.74e-03j,-1.52e-04-1.78e-05j,4.73e-06+5.65e-05j,-1.49e-04-4.19e-06j,-4.60e-05-2.03e-05j,-6.23e-05+1.61e-06j,1.12e-04+1.16e-04j,1.11e-05-5.21e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
9.89e-05+1.34e-04j,-6.82e-05-3.14e-04j,-1.66e-05-2.16e-05j,-7.01e-05+1.55e-07j,-7.65e-06+8.55e-06j,-1.92e-05+3.74e-05j,5.82e-05-3.40e-06j,7.72e-05-5.71e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
7.22e-05+3.20e-05j,4.62e-05-1.97e-05j,-2.34e-05+9.34e-06j,-1.00e-04-1.04e-05j,2.63e-05-6.66e-05j,2.27e-05+3.23e-05j,-1.19e-04+3.94e-05j,2.41e-05+6.29e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
7.28e-05+1.61e-04j,6.19e-06-1.25e-04j,-1.10e-05+3.08e-05j,-1.32e-04+6.69e-05j,-5.78e-05-1.68e-05j,4.90e-05+2.43e-05j,-2.09e-05+3.38e-05j,-1.59e-05-8.28e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
2.03e-04+2.88e-05j,8.14e-04-1.09e-03j,1.47e-05-2.59e-05j,6.10e-06-7.62e-05j,3.60e-05-1.12e-05j,4.23e-05-5.00e-06j,6.30e-05+3.73e-05j,3.94e-05+6.09e-08j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-1.08e-04-7.94e-05j,3.27e-06+2.28e-05j,-8.49e-06-7.74e-06j,3.37e-06+1.75e-05j,9.83e-05+1.01e-04j,-1.17e-04+6.08e-05j,-3.85e-05+1.33e-04j,1.82e-05-4.88e-06j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-4.43e-05+2.95e-05j,-7.50e-05-5.71e-05j,3.49e-05+4.26e-05j,7.41e-06-3.17e-05j,-2.44e-05-4.53e-05j,6.20e-06+1.63e-05j,5.58e-05-3.54e-05j,3.57e-07+5.24e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
6.18e-05+3.15e-05j,3.26e-05-6.79e-04j,-1.37e-05-9.43e-05j,-5.49e-05-5.20e-05j,-1.95e-06+3.74e-07j,5.18e-06-3.26e-05j,5.93e-05-4.42e-05j,-7.80e-06-9.89e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
2.30e-05+8.53e-06j,-1.11e-04+1.04e-05j,-2.18e-05-1.34e-05j,-4.76e-06+6.02e-05j,-2.17e-05+3.08e-05j,2.18e-05+1.50e-05j,3.13e-05-1.21e-04j,1.89e-05-7.49e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.13e-04+1.36e-04j,6.16e-04-1.91e-04j,-3.10e-05-3.22e-05j,-1.35e-04+5.50e-05j,6.55e-06+1.68e-05j,-1.61e-06+4.18e-05j,-3.51e-05-2.92e-05j,-6.64e-05+9.32e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-8.42e-05-1.06e-04j,1.09e-05+8.98e-05j,-3.97e-05+8.35e-06j,9.86e-05-3.52e-05j,-3.89e-05-6.61e-05j,-2.28e-05-8.68e-06j,-1.56e-04-1.74e-05j,1.70e-05+5.80e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
-2.03e-04-1.11e-05j,-3.97e-05-3.18e-05j,-1.01e-05+3.95e-05j,-1.95e-05-6.17e-06j,3.91e-05-1.30e-05j,1.90e-05+1.10e-05j,8.95e-05-3.33e-05j,-5.95e-05+4.44e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
2.17e-04-1.15e-04j,3.83e-05-1.72e-05j,2.30e-04+4.53e-05j,4.95e-04-1.80e-04j,-8.68e-05-1.28e-06j,-4.40e-05+8.45e-05j,5.85e-05+2.79e-05j,-1.80e-04+3.27e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
4.73e-04-1.99e-04j,6.04e-05+9.31e-05j,-3.03e-06+4.44e-05j,9.88e-06+4.50e-05j,-3.41e-05-2.40e-05j,-9.67e-06-4.76e-06j,7.48e-05+4.31e-05j,8.78e-05-4.12e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
2.17e-03-1.82e-04j,-8.93e-06+2.33e-04j,-1.21e-04+3.59e-04j,-6.99e-05+1.68e-04j,-5.95e-05+5.48e-05j,-4.21e-06-5.51e-05j,2.60e-05+3.48e-05j,-2.32e-06-2.44e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.29e-04-1.24e-04j,-1.10e-05-2.38e-05j,-2.17e-05+7.23e-06j,-1.95e-05-1.83e-05j,-6.09e-05-2.05e-05j,-4.01e-05+2.03e-05j,-8.01e-05+9.79e-06j,8.79e-05+1.58e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.94e-04+2.42e-05j,2.62e-04-1.29e-04j,-1.19e-04-1.23e-04j,-2.92e-04+4.60e-05j,-2.89e-05-2.22e-05j,9.00e-06-1.03e-04j,3.38e-05-2.66e-05j,7.12e-05-7.42e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
1.64e-05+4.04e-05j,1.91e-04+5.73e-05j,-7.57e-06+1.69e-05j,-5.48e-05-3.99e-05j,-4.19e-05+1.82e-05j,-3.06e-05+1.10e-05j,1.64e-05-2.77e-05j,-6.03e-05-3.08e-05j,1.31e-06+0.00e+00j,1.31e-06+0.00e+00j
