seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,0.0,349.7345373786235,347.95824848104473,347.75277676045727,347.63648361835027,347.5303767312228
1,0.0,357.71575304317975,357.394072851902,357.3133200657428,357.2538339952395,357.21101914600774
2,436.77649517919986,341.2308677795481,338.4163332808947,338.16001711952026,335.93080061109254,335.85108565741024
3,0.0,329.97645171722894,328.3163227194031,326.6720165036867,326.52853753449915,326.42028008438126
4,469.76970281240705,342.2164617911128,338.0307441000965,337.44404921530673,337.0395277641105,336.87073702453904
5,0.0,348.07144183508024,344.3824693683024,342.2052383742639,342.1068087081799,342.00488198182757
6,0.0,360.70575809978277,360.11355387852973,359.91636422314957,359.67058510638515,358.41391680067466
7,0.0,342.0200080007425,339.00990639226075,337.1776260331284,336.6830158980227,336.43801189933276
8,0.0,365.13699200265387,364.4600063427887,363.52177016122243,362.5980718556707,362.4572828574081
9,473.04381237781297,349.5629727211079,348.1982119441244,347.7851321848714,347.6768014508533,346.56255573606006
average,137.95900103694197,348.637124436906,346.6279869359347,345.7948310641349,345.31244665424043,344.9760147918864
