seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.7,0.5307243151734602,0.96536215758673,347.5303767312228,0.0,252.0
1,0.7222222222222222,0.5400612174778207,0.9922528309611326,357.21101914600774,0.0,260.0
2,0.6722222222222223,0.5213949203189457,0.9329196823816951,335.85108565741024,0.0,242.0
3,0.6722222222222223,0.4690015560243404,0.9067230002343923,326.42028008438126,0.0,242.0
4,0.6555555555555556,0.5603929834696615,0.9357520472903862,336.87073702453904,0.0,236.0
5,0.6888888888888889,0.5222493443434865,0.9500135610606322,342.00488198182757,0.0,248.0
6,0.7388888888888889,0.5134106488926369,0.9955942133352074,358.41391680067466,0.0,266.0
7,0.6666666666666666,0.5357667327740709,0.9345500330537021,336.43801189933276,0.0,240.0
8,0.7111111111111111,0.5914293492078228,1.0068257857150225,362.4572828574081,0.0,256.0
9,0.6944444444444444,0.5364586429781116,0.9626737659335002,346.56255573606006,0.0,250.0
