seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,307.5442268232492,249.85446242361144,248.64652645276894,248.221435203091,248.10270124980795,247.99574572000645
1,0.0,253.8125437339703,251.039550544124,250.95157524982437,250.91314682825384,250.89237407458126
2,342.8941228529345,263.8311719847227,262.77213708616006,262.37086054585507,262.1242279486622,262.0150561015918
3,0.0,269.26757016605694,267.4246428976489,265.637319159368,265.3179808794536,265.02885981148586
4,317.09524284693316,257.2536576353201,256.6357406641148,256.54599560400686,256.5071692811355,256.4808389208258
5,242.6309976164211,219.9885406964697,219.57027513233038,219.51513477637377,217.42424063031828,217.3958378685842
6,0.0,274.7913227266065,273.7885579112632,273.4411640350398,273.27671472792525,273.1122077429187
7,305.0079835277593,250.54675376315438,249.51966294031416,249.25640409122937,246.61173492412252,244.12584465585456
8,309.73664934218846,258.35361310062103,257.18791611975894,256.9321566867512,256.86463167949967,256.77849653103715
9,0.0,266.0799742480616,265.0917950211708,264.9470383604603,264.85021045176285,264.7867706714119
average,182.49092230094857,256.37796104785946,255.16768047696542,254.78190837119996,254.19927586009416,253.86120320982977
