User,TaskType,Selected_BS_List,CommDelay_s,CloudCompletion_SPTF_s,TotalDelay_s,Deadline_s
70,eMBB,6G_2 + WiFi_2,0.294854666739,0.0618465257143,0.356701192454,2
71,eMBB,6G_1 + WiFi_3,0.347284924181,0.194133767143,0.541418691323,2
72,eMBB,6G_1 + WiFi_1 + sat2,0.407453423163,0.285319697143,0.692773120306,2
73,eMBB,6G_1 + WiFi_1,0.266471265439,0.107841831429,0.374313096867,2
74,eMBB,6G_2 + WiFi_2,0.248015936842,0.0992962457143,0.347312182556,2
75,eMBB,6G_1 + WiFi_1,0.2523357375,0.0700606028571,0.322396340357,2
76,eMBB,6G_2 + WiFi_2,0.488949626717,0.174845031429,0.663794658146,2
77,eMBB,6G_1 + WiFi_2 + sat1,0.298960620876,0.0187541357143,0.31771475659,2
78,eMBB,6G_2 + WiFi_2,0.292806006271,0.16534056,0.458146566271,2
79,eMBB,6G_1 + WiFi_1,0.2610040125,0.103557535714,0.364561548214,2
80,eMBB,6G_1 + WiFi_1,0.274273803554,0.00741934285714,0.281693146411,2
81,eMBB,6G_1 + WiFi_3,0.39201441555,0.366516762857,0.758531178408,2
82,eMBB,6G_1 + WiFi_3,0.38932241704,0.254073317143,0.643395734183,2
83,eMBB,6G_1 + WiFi_4,0.479725305416,0.37754904,0.857274345416,2
84,eMBB,6G_2 + WiFi_2,0.331025678667,0.0340697185714,0.365095397238,2
85,eMBB,6G_2 + WiFi_2,0.280425797821,0.0302059842857,0.310631782106,2
86,eMBB,6G_1 + WiFi_4,0.26259156,0.208844931429,0.471436491429,2
87,eMBB,6G_1 + WiFi_2 + sat1,0.268403121352,0.179620932857,0.448024054209,2
88,eMBB,6G_2 + WiFi_2,0.355306657512,0.306726137143,0.662032794655,2
89,eMBB,6G_1 + WiFi_2 + sat1,0.438013917862,0.156049787143,0.594063705005,2
90,eMBB,6G_2 + WiFi_2,0.579929035317,0.0498438128571,0.629772848174,2
