User,TaskType,Selected_BS,CommDelay_s,Deadline_s,CPU_Time_s,Residual_Deadline_for_MH_s,OnTime_Under_MH
1,URLLC,6G_2,0.0018485933680875077,0.004759036306734929,2.2968e-05,0.002910442938647421,1
2,URLLC,6G_1,0.0012895857956474006,0.004707288644885881,1.7292e-05,0.0034177028492384806,1
3,URLLC,WiFi_1,0.0006956249965563133,0.003557885275574779,6.732e-06,0.0028622602790184656,1
4,URLLC,6G_2,0.0011638980007312142,0.004912942130332935,1.4454e-05,0.0037490441296017213,1
5,URLLC,6G_1,0.0014601259332443928,0.004825676427080851,1.8348e-05,0.003365550493836458,1
6,URLLC,6G_1,0.0010437220085646696,0.0033074709849754856,1.3464e-05,0.0022637489764108162,1
7,URLLC,6G_2,0.001237846924834126,0.004777698609827429,1.551e-05,0.0035398516849933035,1
8,URLLC,WiFi_3,0.0018055979517028397,0.0033784426946582694,2.1978e-05,0.0015728447429554297,1
9,URLLC,6G_2,0.0020301719930754716,0.003464877380528104,2.3496e-05,0.0014347053874526326,1
10,URLLC,6G_1,0.0020376712387048935,0.004736882746948407,2.6202e-05,0.0026992115082435137,1
11,URLLC,6G_2,0.0017939539546159928,0.004248109151925808,2.1714e-05,0.0024541551973098147,1
12,URLLC,6G_1,0.0010347172009907196,0.0039009236097047417,1.3926e-05,0.0028662064087140223,1
13,URLLC,6G_1,0.0009850560225633633,0.0036427320753043436,1.32e-05,0.0026576760527409803,1
14,URLLC,6G_1,0.0014364445632121321,0.004183541751121656,1.815e-05,0.002747097187909524,1
15,URLLC,WiFi_2,0.0008643483801438249,0.003489277340119673,7.854e-06,0.0026249289599758483,1
16,URLLC,6G_1,0.0015079863146900674,0.004253374611433632,2.0262e-05,0.0027453882967435643,1
17,URLLC,WiFi_1,0.00071766404118819,0.004832111475936514,6.864e-06,0.004114447434748324,1
18,URLLC,WiFi_1,0.0007909560263423554,0.0037140233219555203,7.458e-06,0.0029230672956131647,1
19,URLLC,WiFi_2,0.0009388797455352586,0.003986561770631385,8.184e-06,0.003047682025096126,1
20,URLLC,6G_2,0.0016246681956943634,0.004064565776401394,1.9602e-05,0.00243989758070703,1
21,URLLC,6G_1,0.0011094289998760973,0.0032201680614912195,1.4982e-05,0.0021107390616151222,1
22,URLLC,WiFi_4,0.0018687880113564192,0.0049963938638081466,2.409e-05,0.0031276058524517276,1
23,URLLC,6G_1,0.0016985631622653161,0.004981776169004396,2.2242e-05,0.00328321300673908,1
24,URLLC,WiFi_2,0.0011648201616803497,0.0030635444016188585,9.768e-06,0.0018987242399385088,1
25,URLLC,WiFi_1,0.0008288740118656713,0.0035495705436404674,8.58e-06,0.002720696531774796,1
26,URLLC,6G_1,0.0016261529212733483,0.004337456410447797,2.1252e-05,0.002711303489174449,1
27,URLLC,WiFi_4,0.002063224760958936,0.003249559500647259,2.4354e-05,0.001186334739688323,1
28,URLLC,WiFi_1,0.0011897737409116535,0.004631044415565846,1.1748e-05,0.003441270674654192,1
29,URLLC,WiFi_4,0.0014137264475926445,0.004455668355375665,1.8612e-05,0.0030419419077830205,1
30,URLLC,WiFi_3,0.0019503156820778423,0.004091662776218782,2.5146e-05,0.00214134709414094,1
31,URLLC,6G_1,0.0013367422734384328,0.003624354469996614,1.716e-05,0.002287612196558181,1
32,URLLC,WiFi_2,0.00120936064520046,0.00420658652649621,1.0296e-05,0.0029972258812957504,1
33,URLLC,WiFi_1,0.0007580616370310096,0.003292503048113664,7.854e-06,0.0025344414110826546,1
34,URLLC,WiFi_4,0.00102236629870508,0.004700558283206103,1.2606e-05,0.003678191984501023,1
35,URLLC,WiFi_2,0.0011186891105208797,0.003064351519314458,9.702e-06,0.0019456624087935783,1
36,URLLC,WiFi_2,0.0007775830807814842,0.0036534416240429062,6.6e-06,0.002875858543261422,1
37,URLLC,6G_2,0.002154195105977313,0.00442108574703011,2.5212e-05,0.0022668906410527965,1
38,URLLC,WiFi_2,0.0010616163965575865,0.0041396195812990495,8.976e-06,0.0030780031847414627,1
39,URLLC,WiFi_3,0.0010318316209289463,0.0033332646181645693,1.3728e-05,0.002301432997235623,1
40,URLLC,WiFi_3,0.0013902420315870124,0.003296074135518226,1.8084e-05,0.0019058321039312136,1
41,URLLC,WiFi_1,0.0007238148149495058,0.004804871264488314,7.524e-06,0.004081056449538808,1
42,URLLC,6G_2,0.0011618175795037996,0.0033324655378838995,1.3794e-05,0.0021706479583800996,1
43,URLLC,WiFi_3,0.0017388314604963838,0.004404160396725447,2.2044e-05,0.002665328936229063,1
44,URLLC,6G_1,0.0018532832781557962,0.004389417615976108,2.3364e-05,0.0025361343378203123,1
45,URLLC,WiFi_2,0.00091683681622845,0.003338499836046995,7.458e-06,0.002421663019818545,1
46,URLLC,6G_1,0.001549167954924628,0.0031863046323758423,2.1054e-05,0.0016371366774512142,1
47,URLLC,6G_1,0.001159137038778862,0.004516676454787484,1.5312e-05,0.003357539416008622,1
48,URLLC,WiFi_3,0.0018832484422674984,0.0037805426495323377,2.4552e-05,0.0018972942072648393,1
49,URLLC,WiFi_4,0.0011560744084723185,0.00497570623954857,1.5114e-05,0.0038196318310762516,1
50,URLLC,WiFi_1,0.0012994127362545285,0.004170581821533324,1.1682e-05,0.002871169085278795,1
51,URLLC,sat2,0.003055323722494026,0.00344680159446506,1.947e-05,0.0003914778719710339,1
52,URLLC,sat1,0.0028468170780081617,0.004566501927143515,1.2936e-05,0.0017196848491353536,1
53,URLLC,sat1,0.0030125047138003075,0.0033584900608407938,1.2804e-05,0.00034598534704048623,1
54,URLLC,sat2,0.0034296944413172905,0.004692951912186917,2.1714e-05,0.0012632574708696265,1
55,URLLC,sat1,0.0029170823129544203,0.004382191740027788,1.3596e-05,0.0014651094270733676,1
56,URLLC,sat2,0.003855621309022383,0.0036183662798109674,2.4156e-05,-0.00023725502921141542,0
57,URLLC,sat2,0.0028837087200584218,0.0031963333346821214,1.8414e-05,0.00031262461462369965,1
58,URLLC,sat1,0.00346477452703821,0.0035824673425809057,1.5972e-05,0.00011769281554269585,1
