rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,153528811.23555815,50836344.83185722,102692466.40370092,300000000.0,0.5117627041185272,0.1694544827728574,0.34230822134566974,20,40
1,6G_2,6G,uplink,160955345.33994547,58896595.218813084,102058750.12113237,300000000.0,0.5365178177998182,0.1963219840627103,0.34019583373710793,20,40
2,WiFi_1,WiFi,uplink,39575810.656355225,16603468.654137045,22972342.00221818,160000000.0,0.24734881660222016,0.10377167908835654,0.1435771375138636,10,20
3,WiFi_2,WiFi,uplink,37449739.481286466,11490444.351635074,25959295.129651394,160000000.0,0.2340608717580404,0.07181527719771921,0.1622455945603212,10,20
4,WiFi_3,WiFi,uplink,36129505.21791403,12191814.195322704,23937691.022591323,160000000.0,0.2258094076119627,0.0761988387207669,0.14961056889119576,10,20
5,WiFi_4,WiFi,uplink,41153606.040126935,9816382.3364583,31337223.70366863,160000000.0,0.2572100377507933,0.06135238960286437,0.19585764814792894,10,20
6,Satellite_1,Satellite,uplink,13291885.216601914,5626421.651763462,7665463.564838451,20000000.0,0.6645942608300957,0.2813210825881731,0.3832731782419226,22,24
7,Satellite_2,Satellite,uplink,9855028.430825816,5039802.884505054,4815225.5463207625,20000000.0,0.4927514215412908,0.2519901442252527,0.24076127731603814,18,16
8,Satellite_1_down,Satellite,downlink,8632601.85616199,0.0,8632601.85616199,10000000.0,0.8632601856161989,0.0,0.8632601856161989,0,24
9,Satellite_2_down,Satellite,downlink,6196314.989053711,0.0,6196314.989053711,10000000.0,0.6196314989053712,0.0,0.6196314989053712,0,16
