user_id,user_type,rat_id,rat_name,rat_type,selected,uplink_rate,downlink_rate,effective_e2e_rate
0,URLLC,3,WiFi_2,WiFi,1,4350639.604269297,20000000.0,4350639.604269297
1,URLLC,3,WiFi_2,WiFi,1,18143125.00348453,20000000.0,18143125.00348453
2,URLLC,3,WiFi_2,WiFi,1,23354501.117052957,20000000.0,20000000.0
3,URLLC,5,WiFi_4,WiFi,1,30675977.713934906,20000000.0,20000000.0
4,URLLC,4,WiFi_3,WiFi,1,25344024.912755698,20000000.0,20000000.0
5,URLLC,3,WiFi_2,WiFi,1,42821549.06830957,20000000.0,20000000.0
6,URLLC,5,WiFi_4,WiFi,1,14776018.977160951,20000000.0,14776018.977160951
7,URLLC,5,WiFi_4,WiFi,1,17598095.3728572,20000000.0,17598095.3728572
8,URLLC,2,WiFi_1,WiFi,1,24528778.702403393,20000000.0,20000000.0
9,URLLC,2,WiFi_1,WiFi,1,28456321.807890546,20000000.0,20000000.0
10,URLLC,3,WiFi_2,WiFi,1,26945491.23223378,20000000.0,20000000.0
11,URLLC,3,WiFi_2,WiFi,1,22900620.721214145,20000000.0,20000000.0
12,URLLC,4,WiFi_3,WiFi,1,11140565.397918476,20000000.0,11140565.397918476
13,URLLC,2,WiFi_1,WiFi,1,16039916.87647931,20000000.0,16039916.87647931
14,URLLC,3,WiFi_2,WiFi,1,43967542.79683476,20000000.0,20000000.0
15,URLLC,2,WiFi_1,WiFi,1,26655327.67469113,20000000.0,20000000.0
16,URLLC,2,WiFi_1,WiFi,1,51203871.272858955,20000000.0,20000000.0
17,URLLC,4,WiFi_3,WiFi,1,22782536.825881965,20000000.0,20000000.0
18,URLLC,2,WiFi_1,WiFi,1,27271838.460306,20000000.0,20000000.0
19,URLLC,4,WiFi_3,WiFi,1,25668013.406510405,20000000.0,20000000.0
20,URLLC,2,WiFi_1,WiFi,1,58371424.27769107,20000000.0,20000000.0
21,URLLC,2,WiFi_1,WiFi,1,25379613.18964809,20000000.0,20000000.0
22,URLLC,3,WiFi_2,WiFi,1,22864224.334504537,20000000.0,20000000.0
23,URLLC,4,WiFi_3,WiFi,1,19532096.708259385,20000000.0,19532096.708259385
24,URLLC,2,WiFi_1,WiFi,1,51941089.21925482,20000000.0,20000000.0
25,URLLC,3,WiFi_2,WiFi,1,6198560.066311856,20000000.0,6198560.066311856
26,URLLC,5,WiFi_4,WiFi,1,9362647.803765954,20000000.0,9362647.803765954
27,URLLC,4,WiFi_3,WiFi,1,30044732.341490526,20000000.0,20000000.0
28,URLLC,5,WiFi_4,WiFi,1,23010398.819370557,20000000.0,20000000.0
29,URLLC,4,WiFi_3,WiFi,1,26824629.71093006,20000000.0,20000000.0
30,URLLC,4,WiFi_3,WiFi,1,36258602.20365393,20000000.0,20000000.0
31,URLLC,5,WiFi_4,WiFi,1,25479751.755998448,20000000.0,20000000.0
32,URLLC,2,WiFi_1,WiFi,1,39855606.89359041,20000000.0,20000000.0
33,URLLC,5,WiFi_4,WiFi,1,12010900.721434498,20000000.0,12010900.721434498
34,URLLC,5,WiFi_4,WiFi,1,30257246.62719655,20000000.0,20000000.0
35,URLLC,5,WiFi_4,WiFi,1,19030750.03857643,20000000.0,19030750.03857643
36,URLLC,3,WiFi_2,WiFi,1,19881887.776004065,20000000.0,19881887.776004065
37,URLLC,5,WiFi_4,WiFi,1,19022416.53999138,20000000.0,19022416.53999138
38,URLLC,4,WiFi_3,WiFi,1,29542560.596566807,20000000.0,20000000.0
39,URLLC,4,WiFi_3,WiFi,1,21739747.23870243,20000000.0,20000000.0
40,URLLC,7,Satellite_2,Satellite,1,4055408.230188205,14411738.088085657,4055408.230188205
41,URLLC,7,Satellite_2,Satellite,1,5589209.894966322,14411738.088085657,5589209.894966322
42,URLLC,6,Satellite_1,Satellite,1,4459305.471985003,14411738.088085657,4459305.471985003
43,URLLC,6,Satellite_1,Satellite,1,426093.2331779611,14411738.088085657,426093.2331779611
44,URLLC,6,Satellite_1,Satellite,1,3259381.7950772834,14411738.088085657,3259381.7950772834
45,URLLC,7,Satellite_2,Satellite,1,3750183.2123024864,14411738.088085657,3750183.2123024864
46,URLLC,6,Satellite_1,Satellite,1,1932282.4073718905,14411738.088085657,1932282.4073718905
47,URLLC,6,Satellite_1,Satellite,1,8447052.227327993,14411738.088085657,8447052.227327993
48,URLLC,7,Satellite_2,Satellite,1,5114190.669697761,14411738.088085657,5114190.669697761
49,URLLC,7,Satellite_2,Satellite,1,6969926.057831614,14411738.088085657,6969926.057831614
50,URLLC,6,Satellite_1,Satellite,1,5636692.847187941,14411738.088085657,5636692.847187941
51,URLLC,6,Satellite_1,Satellite,1,7428308.930842243,14411738.088085657,7428308.930842243
52,URLLC,6,Satellite_1,Satellite,1,6278811.731354767,14411738.088085657,6278811.731354767
53,URLLC,6,Satellite_1,Satellite,1,2970411.76362618,14411738.088085657,2970411.76362618
54,URLLC,6,Satellite_1,Satellite,1,7978568.003116691,14411738.088085657,7978568.003116691
55,URLLC,6,Satellite_1,Satellite,1,2677867.4795726025,14411738.088085657,2677867.4795726025
56,URLLC,6,Satellite_1,Satellite,1,8077020.95805112,14411738.088085657,8077020.95805112
57,URLLC,7,Satellite_2,Satellite,1,2917059.8818894885,14411738.088085657,2917059.8818894885
58,URLLC,6,Satellite_1,Satellite,1,2776384.7194460947,14411738.088085657,2776384.7194460947
59,URLLC,6,Satellite_1,Satellite,1,6183247.613871919,14411738.088085657,6183247.613871919
60,URLLC,7,Satellite_2,Satellite,1,4965821.217431587,14411738.088085657,4965821.217431587
61,URLLC,6,Satellite_1,Satellite,1,2344941.9772758046,14411738.088085657,2344941.9772758046
62,URLLC,7,Satellite_2,Satellite,1,6356858.699814648,14411738.088085657,6356858.699814648
63,URLLC,6,Satellite_1,Satellite,1,5688593.17484831,14411738.088085657,5688593.17484831
64,URLLC,7,Satellite_2,Satellite,1,690902.6808692883,14411738.088085657,690902.6808692883
65,URLLC,6,Satellite_1,Satellite,1,3289880.452681116,14411738.088085657,3289880.452681116
66,URLLC,6,Satellite_1,Satellite,1,4209590.022721794,14411738.088085657,4209590.022721794
67,URLLC,7,Satellite_2,Satellite,1,4063191.8214042964,14411738.088085657,4063191.8214042964
68,URLLC,7,Satellite_2,Satellite,1,6023197.165291807,14411738.088085657,6023197.165291807
69,URLLC,7,Satellite_2,Satellite,1,9477518.48080447,14411738.088085657,9477518.48080447
70,URLLC,7,Satellite_2,Satellite,1,9589020.851462195,14411738.088085657,9589020.851462195
71,URLLC,7,Satellite_2,Satellite,1,7220491.024755994,14411738.088085657,7220491.024755994
72,URLLC,6,Satellite_1,Satellite,1,11442193.49778552,14411738.088085657,11442193.49778552
73,URLLC,7,Satellite_2,Satellite,1,5761520.991763156,14411738.088085657,5761520.991763156
74,URLLC,6,Satellite_1,Satellite,1,1974744.2783436035,14411738.088085657,1974744.2783436035
75,URLLC,7,Satellite_2,Satellite,1,6741811.824927597,14411738.088085657,6741811.824927597
76,URLLC,6,Satellite_1,Satellite,1,11534999.541917095,14411738.088085657,11534999.541917095
77,URLLC,6,Satellite_1,Satellite,1,7894586.568885883,14411738.088085657,7894586.568885883
78,URLLC,7,Satellite_2,Satellite,1,10693603.105008591,14411738.088085657,10693603.105008591
79,URLLC,7,Satellite_2,Satellite,1,5566575.423473526,14411738.088085657,5566575.423473526
80,URLLC,1,6G_2,6G,1,80237127.9272199,40000000.0,40000000.0
81,URLLC,1,6G_2,6G,1,43512494.59009534,40000000.0,40000000.0
82,URLLC,1,6G_2,6G,1,53056193.16899047,40000000.0,40000000.0
83,URLLC,0,6G_1,6G,1,34734963.04540786,40000000.0,34734963.04540786
84,URLLC,1,6G_2,6G,1,64290942.805985644,40000000.0,40000000.0
85,URLLC,0,6G_1,6G,1,14784532.498691233,40000000.0,14784532.498691233
86,URLLC,0,6G_1,6G,1,49709292.31450741,40000000.0,40000000.0
87,URLLC,0,6G_1,6G,1,80192088.25797963,40000000.0,40000000.0
88,URLLC,1,6G_2,6G,1,83135967.24109858,40000000.0,40000000.0
89,URLLC,0,6G_1,6G,1,52604930.42376713,40000000.0,40000000.0
90,URLLC,0,6G_1,6G,1,46172254.404351905,40000000.0,40000000.0
91,URLLC,0,6G_1,6G,1,55636231.99963928,40000000.0,40000000.0
92,URLLC,1,6G_2,6G,1,38380226.70796908,40000000.0,38380226.70796908
93,URLLC,0,6G_1,6G,1,22459853.488292143,40000000.0,22459853.488292143
94,URLLC,1,6G_2,6G,1,15919681.53614539,40000000.0,15919681.53614539
95,URLLC,1,6G_2,6G,1,59850493.85244698,40000000.0,40000000.0
96,URLLC,0,6G_1,6G,1,54107158.1321542,40000000.0,40000000.0
97,URLLC,1,6G_2,6G,1,44399893.49878587,40000000.0,40000000.0
98,URLLC,0,6G_1,6G,1,78543665.8999643,40000000.0,40000000.0
99,URLLC,0,6G_1,6G,1,48766649.54472215,40000000.0,40000000.0
100,URLLC,0,6G_1,6G,1,36180849.68408409,40000000.0,36180849.68408409
101,URLLC,0,6G_1,6G,1,19483160.388640095,40000000.0,19483160.388640095
102,URLLC,1,6G_2,6G,1,46907832.25460925,40000000.0,40000000.0
103,URLLC,1,6G_2,6G,1,58439532.69872206,40000000.0,40000000.0
104,URLLC,1,6G_2,6G,1,89110683.50331663,40000000.0,40000000.0
105,URLLC,1,6G_2,6G,1,48739022.1815676,40000000.0,40000000.0
106,URLLC,1,6G_2,6G,1,49225740.51783572,40000000.0,40000000.0
107,URLLC,0,6G_1,6G,1,36738743.98793554,40000000.0,36738743.98793554
108,URLLC,0,6G_1,6G,1,76352900.19503948,40000000.0,40000000.0
109,URLLC,1,6G_2,6G,1,70416508.23620848,40000000.0,40000000.0
110,URLLC,1,6G_2,6G,1,87631527.79277617,40000000.0,40000000.0
111,URLLC,0,6G_1,6G,1,49539987.35122983,40000000.0,40000000.0
112,URLLC,1,6G_2,6G,1,45297041.257050335,40000000.0,40000000.0
113,URLLC,0,6G_1,6G,1,55157890.0217837,40000000.0,40000000.0
114,URLLC,1,6G_2,6G,1,32361307.37683873,40000000.0,32361307.37683873
115,URLLC,1,6G_2,6G,1,58743745.40809008,40000000.0,40000000.0
116,URLLC,0,6G_1,6G,1,44134640.853598304,40000000.0,40000000.0
117,URLLC,1,6G_2,6G,1,59720941.14180985,40000000.0,40000000.0
118,URLLC,0,6G_1,6G,1,71262767.55992089,40000000.0,40000000.0
119,URLLC,0,6G_1,6G,1,56211762.6023689,40000000.0,40000000.0
120,eMBB,0,6G_1,6G,1,33835129.55723252,40000000.0,33835129.55723252
120,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
121,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
121,eMBB,5,WiFi_4,WiFi,1,17899711.412202775,20000000.0,17899711.412202775
122,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
122,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
123,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
123,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
124,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
124,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
125,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
125,eMBB,2,WiFi_1,WiFi,1,12442483.30657552,20000000.0,12442483.30657552
126,eMBB,1,6G_2,6G,1,14927072.466549678,40000000.0,14927072.466549678
126,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
127,eMBB,1,6G_2,6G,1,29206080.2283165,40000000.0,29206080.2283165
127,eMBB,3,WiFi_2,WiFi,1,15342774.761098308,20000000.0,15342774.761098308
128,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
128,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
129,eMBB,0,6G_1,6G,1,7069077.365403158,40000000.0,7069077.365403158
129,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
130,eMBB,1,6G_2,6G,1,36906545.17414634,40000000.0,36906545.17414634
130,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
131,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
131,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
132,eMBB,1,6G_2,6G,1,30992485.20187967,40000000.0,30992485.20187967
132,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
133,eMBB,0,6G_1,6G,1,24933784.27150433,40000000.0,24933784.27150433
133,eMBB,2,WiFi_1,WiFi,1,8734588.67502102,20000000.0,8734588.67502102
134,eMBB,0,6G_1,6G,1,16114839.201528236,40000000.0,16114839.201528236
134,eMBB,4,WiFi_3,WiFi,1,8164851.677313536,20000000.0,8164851.677313536
135,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
135,eMBB,2,WiFi_1,WiFi,1,15787568.253117083,20000000.0,15787568.253117083
136,eMBB,1,6G_2,6G,1,39741446.73044592,40000000.0,39741446.73044592
136,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
137,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
137,eMBB,2,WiFi_1,WiFi,1,14075748.659250485,20000000.0,14075748.659250485
138,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
138,eMBB,3,WiFi_2,WiFi,1,6527851.651426071,20000000.0,6527851.651426071
139,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
139,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
140,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
140,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
141,eMBB,0,6G_1,6G,1,29171005.983950175,40000000.0,29171005.983950175
141,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
142,eMBB,1,6G_2,6G,1,25803020.678993188,40000000.0,25803020.678993188
142,eMBB,4,WiFi_3,WiFi,1,17714579.559646413,20000000.0,17714579.559646413
143,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
143,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
144,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
144,eMBB,2,WiFi_1,WiFi,1,17042059.627493322,20000000.0,17042059.627493322
145,eMBB,1,6G_2,6G,1,35487635.00842212,40000000.0,35487635.00842212
145,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
146,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
146,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
147,eMBB,0,6G_1,6G,1,31479604.11990949,40000000.0,31479604.11990949
147,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
148,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
148,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
149,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
149,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
150,eMBB,1,6G_2,6G,1,38578973.606921874,40000000.0,38578973.606921874
150,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
151,eMBB,0,6G_1,6G,1,27812329.10527092,40000000.0,27812329.10527092
151,eMBB,4,WiFi_3,WiFi,1,13283772.757554198,20000000.0,13283772.757554198
152,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
152,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
153,eMBB,0,6G_1,6G,1,38860300.44920636,40000000.0,38860300.44920636
153,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
154,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
154,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
155,eMBB,1,6G_2,6G,1,31247613.727100067,40000000.0,31247613.727100067
155,eMBB,5,WiFi_4,WiFi,1,20000000.0,20000000.0,20000000.0
156,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
156,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
157,eMBB,1,6G_2,6G,1,20706647.048034113,40000000.0,20706647.048034113
