seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.05,0.2352344501434742,0.1676172250717371,20.11406700860845,0.0,6.0
1,0.06666666666666667,0.28070736593726775,0.20702034963530055,24.842441956236065,0.0,8.0
2,0.06666666666666667,0.24016650503544984,0.1867499191843916,22.409990302126992,0.0,8.0
3,0.08333333333333333,0.22464555875816405,0.19565611271241537,23.478733525489844,0.0,10.0
4,0.06666666666666667,0.2245759748260653,0.17895465407969932,21.47455848956392,0.0,8.0
5,0.06666666666666667,0.3046135360560564,0.21897343469469488,26.276812163363385,0.0,8.0
6,0.06666666666666667,0.2535675022732629,0.1934504178032981,23.214050136395773,0.0,8.0
