seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,230.93423021175641,207.02703469305743,206.84201929371096,206.78439775419062,204.29093861,204.28532611142856
1,230.38101964757513,207.84796293912345,204.32178407751422,204.24366353591714,204.23150617433387,204.17077583428573
2,227.5458500544513,212.41748834558564,208.46207419871763,208.4105622751266,206.4394614105264,204.18665850633946
3,226.36762227401834,206.97773191106162,202.60266712464016,200.34212987285713,196.22009160665567,196.213867203135
4,234.38333007398919,212.54934418241277,208.67291268588957,208.438971870629,208.41281017785053,204.38112593627872
average,229.92241045235806,209.36391241424818,206.1802914760945,205.64394506174412,203.91896159587333,202.6475507182935
