seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.0,0.14052309338640506,0.07026154669320253,8.431385603184303,0.0,0.0
1,0.0,0.1408680023438235,0.07043400117191174,8.452080140629409,0.0,0.0
2,0.0,0.14056738585295286,0.07028369292647643,8.434043151177171,0.0,0.0
3,0.0,0.14068641282925323,0.07034320641462662,8.441184769755194,0.0,0.0
4,0.0,0.140803254116578,0.070401627058289,8.44819524699468,0.0,0.0
5,0.0,0.14075130692250554,0.07037565346125277,8.445078415350332,0.0,0.0
6,0.0,0.14046737935714285,0.07023368967857142,8.428042761428571,0.0,0.0
7,0.0,0.1408162502857143,0.07040812514285714,8.448975017142857,0.0,0.0
8,0.0,0.14075747655742518,0.07037873827871259,8.44544859344551,0.0,0.0
9,0.0,0.14057426768616005,0.07028713384308002,8.434456061169604,0.0,0.0
