seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,37.49344835484982,12.45265601187747,8.471131796126556,8.431965293414349,8.431476334164746,8.431385603184303
1,33.584003431348144,14.499306114519175,8.4715897843605,8.462880628583749,8.452108962783132,8.452080140629409
2,36.5620899164274,14.45409068727912,8.54089835719007,8.434043151177171,8.434043151177171,8.434043151177171
3,32.631299338049146,12.581818509999998,10.475102382468378,8.459882396506435,8.441184769755194,8.441184769755194
4,32.60731726206152,8.476508402754522,8.475589635611664,8.467144131428572,8.452558379013556,8.44819524699468
5,32.65796621768162,14.451023225321064,8.52973189480966,8.46624453681861,8.464084452990079,8.445078415350332
6,36.6630827354595,12.502988813180997,10.459362848904577,8.45932188176172,8.458248467494654,8.428042761428571
7,36.674659279462375,14.497910293955888,8.49687439055794,8.45516611340915,8.455097284837723,8.448975017142857
8,30.522325771505155,14.491035451033618,10.464978617950646,8.451474632460254,8.451443174320874,8.44544859344551
9,32.893622890579834,14.512799366540573,12.434598526883889,8.50595480278741,8.442106722856195,8.434456061169604
average,34.22898151974245,13.292013687646243,9.481985823486387,8.459407756834741,8.448235169939332,8.440888976027761
