seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.16666666666666666,0.14969017257202397,0.24151175295267865,28.98141035432144,0.0,20.0
1,0.16666666666666666,0.1475427518480221,0.24043804259067772,28.852565110881326,0.0,20.0
2,0.15,0.14646732093863796,0.22323366046931897,26.788039256318278,0.0,18.0
3,0.16666666666666666,0.14584547676942217,0.23958940505137777,28.75072860616533,0.0,20.0
4,0.15,0.14579431235714285,0.22289715617857145,26.747658741428573,0.0,18.0
5,0.16666666666666666,0.14947570525712012,0.24140451929522672,28.968542315427207,0.0,20.0
6,0.2,0.14711451314285715,0.27355725657142854,32.826870788571426,0.0,24.0
7,0.15,0.16187300347219022,0.23093650173609512,27.712380208331414,0.0,18.0
8,0.15,0.14756393301539122,0.2237819665076956,26.853835980923474,0.0,18.0
9,0.15,0.14866308684601678,0.22433154342300837,26.919785210761006,0.0,18.0
