rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,108026611.81307717,33886338.76547536,74140273.0476018,300000000.0,0.36008870604359056,0.11295446255158455,0.24713424349200602,11,29
1,6G_2,6G,uplink,52149460.27892667,27961711.620463267,24187748.6584634,300000000.0,0.1738315342630889,0.09320570540154423,0.08062582886154467,9,11
2,WiFi_1,WiFi,uplink,13875519.417651253,0.0,13875519.417651253,160000000.0,0.08672199636032032,0.0,0.08672199636032032,0,12
3,WiFi_2,WiFi,uplink,16491005.407890618,0.0,16491005.407890618,160000000.0,0.10306878379931636,0.0,0.10306878379931636,0,14
4,WiFi_3,WiFi,uplink,9000715.531911608,0.0,9000715.531911608,160000000.0,0.05625447207444755,0.0,0.05625447207444755,0,7
5,WiFi_4,WiFi,uplink,6620818.712540644,0.0,6620818.712540644,160000000.0,0.04138011695337902,0.0,0.04138011695337902,0,7
6,Satellite_1,Satellite,uplink,18896832.406718798,9535475.40933038,9361356.997388417,20000000.0,0.9448416203359399,0.476773770466519,0.46806784986942085,40,40
7,Satellite_2,Satellite,uplink,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0,0
8,Satellite_1_down,Satellite,downlink,9940884.259141644,0.0,9940884.259141644,10000000.0,0.9940884259141645,0.0,0.9940884259141645,0,40
9,Satellite_2_down,Satellite,downlink,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0,0
