user_id,user_type,selection_reason,communication_delay,queue_delay,processing_delay,total_delay,deadline,violation,bottleneck_reason
49,URLLC,outage,0.0032386565779829704,2.0,1.8216e-05,2.0,0.003824759853671,1.996175240146329,urlLC_outage
50,URLLC,outage,0.001497853362807937,2.0,1.155e-05,2.0,0.0044924856600011,1.995507514339999,urlLC_outage
51,URLLC,outage,0.004011360045943316,2.0,2.4684e-05,2.0,0.0043731639776621,1.995626836022338,urlLC_outage
52,URLLC,outage,0.0019363847849980763,2.0,1.089e-05,2.0,0.003486386449939,1.996513613550061,urlLC_outage
53,URLLC,outage,0.004555361050685514,2.0,1.5312e-05,2.0,0.0047803041285209,1.9952196958714792,urlLC_outage
54,URLLC,outage,0.0014007103262468302,2.0,1.1946e-05,2.0,0.0035467270129667,1.9964532729870332,urlLC_outage
55,URLLC,outage,0.0057854694450821574,2.0,2.6268e-05,2.0,0.0038632182717015,1.9961367817282984,urlLC_outage
56,URLLC,outage,0.0012241875512386475,2.0,6.798e-06,2.0,0.0030152892801208,1.9969847107198793,urlLC_outage
57,URLLC,outage,0.002288875231948378,2.0,1.056e-05,2.0,0.0044237573023945,1.9955762426976056,urlLC_outage
58,URLLC,outage,0.0030854481317494535,2.0,1.4784e-05,2.0,0.0034234906114467,1.9965765093885532,urlLC_outage
59,URLLC,outage,0.004883426962729023,2.0,1.947e-05,2.0,0.0031036131023761,1.996896386897624,urlLC_outage
119,eMBB,top_20_percent_delay,0.016249347734268147,0.0,0.004693307142857143,0.6134529194483808,2.0,0.0,communication_delay
118,eMBB,top_20_percent_delay,0.010972791002831175,0.0,0.003981544285714286,0.4068863314997259,2.0,0.0,communication_delay
117,eMBB,top_20_percent_delay,0.022941192022250756,0.0,0.0040112914285714285,0.3780488626496672,2.0,0.0,communication_delay
116,eMBB,top_20_percent_delay,0.029501639477144126,0.0,0.004410874285714286,0.3468253607547014,2.0,0.0,communication_delay
115,eMBB,top_20_percent_delay,0.016083608116508216,0.00572334171253519,0.005820351428571429,0.34145107017417886,2.0,0.0,communication_delay
114,eMBB,top_20_percent_delay,0.013147471880210093,0.002055438855392333,0.00480018,0.336389577317036,2.0,0.0,communication_delay
113,eMBB,top_20_percent_delay,0.013880952681999612,0.0,0.004417662857142857,0.33272167445989315,2.0,0.0,communication_delay
112,eMBB,top_20_percent_delay,0.012688502199928243,0.0,0.004539385714285714,0.3263110540174373,2.0,0.0,communication_delay
111,eMBB,top_20_percent_delay,0.01693140473050773,0.0,0.005448535714285714,0.3144190357827673,2.0,0.0,communication_delay
110,eMBB,top_20_percent_delay,0.03831790129410008,0.001324608446031994,0.004684067142857143,0.2646658451666737,2.0,0.0,communication_delay
109,eMBB,top_20_percent_delay,0.016689391203210596,0.0007388901058485442,0.0059301,0.26092048659524514,2.0,0.0,communication_delay
108,eMBB,top_20_percent_delay,0.013266824716073468,0.0,0.004833698571428571,0.25567768230953086,2.0,0.0,communication_delay
