User,TaskType,Selected_BS,CommDelay_s,Deadline_s,CPU_Time_s,Residual_Deadline_for_MH_s,OnTime_Under_MH
1,URLLC,6G_2,0.000731119807142,0.00456974898857,1.3662e-05,0.00383862918143,1
2,URLLC,WiFi_2,0.000999167929856,0.00446602601419,9.57e-06,0.00346685808433,1
3,URLLC,6G_1,0.000613956567626,0.00419952967407,7.656e-06,0.00358557310644,1
4,URLLC,6G_2,0.00143738714948,0.00364975664792,2.5938e-05,0.00221236949844,1
5,URLLC,WiFi_2,0.00170359299079,0.00425096728347,9.372e-06,0.00254737429268,1
6,URLLC,WiFi_2,0.00256939405199,0.00352533992403,1.3332e-05,0.000955945872036,1
7,URLLC,6G_2,0.000713840854171,0.00405482309606,1.5048e-05,0.00334098224189,1
8,URLLC,6G_1,0.00205070427893,0.00313673337395,1.2672e-05,0.00108602909502,1
9,URLLC,6G_1,0.00150077445566,0.00437112471651,1.1352e-05,0.00287035026085,1
10,URLLC,6G_2,0.000424868462916,0.00356315300006,7.788e-06,0.00313828453714,1
11,URLLC,6G_2,0.00417620759931,0.00328484349936,1.2672e-05,-0.000891364099949,0
12,URLLC,6G_1,0.000615887584186,0.00356263300513,8.316e-06,0.00294674542094,1
13,URLLC,WiFi_1,0.00156110795942,0.00307709763001,2.0526e-05,0.00151598967059,1
14,URLLC,6G_1,0.0019438064987,0.00311969168923,1.9404e-05,0.00117588519054,1
15,URLLC,WiFi_2,0.00174008363211,0.00300574741895,2.0592e-05,0.00126566378684,1
16,URLLC,6G_1,0.00186025308953,0.00354044148418,2.409e-05,0.00168018839465,1
17,URLLC,6G_1,0.00159712794577,0.00302792720764,2.2374e-05,0.00143079926187,1
18,URLLC,6G_1,0.00151763747827,0.00404627192272,1.353e-05,0.00252863444445,1
19,URLLC,6G_1,0.000734492894472,0.00446594146741,9.57e-06,0.00373144857294,1
20,URLLC,6G_2,0.0011351519709,0.00348598552775,9.438e-06,0.00235083355686,1
21,URLLC,WiFi_1,0.000335751809333,0.00456926114561,8.58e-06,0.00423350933628,1
22,URLLC,WiFi_4,0.000693841225129,0.00436614125648,1.0626e-05,0.00367230003135,1
23,URLLC,6G_2,0.000677338139226,0.00470551504359,1.188e-05,0.00402817690436,1
24,URLLC,WiFi_3,0.000758071153018,0.00450914526352,1.1748e-05,0.0037510741105,1
25,URLLC,6G_1,0.000743761796549,0.00354329869495,9.438e-06,0.0027995368984,1
26,URLLC,WiFi_2,0.000863775662232,0.00475623017921,1.0956e-05,0.00389245451698,1
27,URLLC,WiFi_4,0.00342141835418,0.00460244777947,1.1946e-05,0.00118102942529,1
28,URLLC,WiFi_3,0.000919662336981,0.00323990508582,1.749e-05,0.00232024274884,1
29,URLLC,WiFi_4,0.000856373614496,0.00497224032409,1.287e-05,0.00411586670959,1
30,URLLC,WiFi_1,0.000909891364684,0.00452986622722,2.3826e-05,0.00361997486254,1
31,URLLC,sat2,0.00175901181381,0.00388900067203,1.1748e-05,0.00212998885822,1
32,URLLC,sat1,0.0029494740455,0.00348520445198,1.0362e-05,0.000535730406479,1
33,URLLC,sat2,0.00715522432001,0.00436766400628,2.4882e-05,-0.00278756031373,0
34,URLLC,sat1,0.00268149222843,0.00399324007531,1.6434e-05,0.00131174784688,1
35,URLLC,sat1,0.00179810474883,0.00421580905422,2.0856e-05,0.00241770430539,1
36,URLLC,sat2,0.0146493218912,0.00434568210654,2.0394e-05,-0.0103036397847,0
37,URLLC,sat2,0.00503461709418,0.00328346585441,1.3266e-05,-0.00175115123977,0
38,URLLC,sat1,0.000604723587215,0.00353342441486,6.996e-06,0.00292870082765,1
39,URLLC,sat2,0.000989154878236,0.00427263073452,1.3398e-05,0.00328347585629,1
40,URLLC,sat2,0.00367633916753,0.00323152628234,1.8546e-05,-0.000444812885192,0
41,URLLC,sat1,0.00462931839398,0.00445695268072,2.1186e-05,-0.000172365713251,0
42,URLLC,sat2,0.00384825667198,0.00312654139748,1.419e-05,-0.0007217152745,0
43,URLLC,sat1,0.00203846082256,0.00492461014569,2.64e-05,0.00288614932313,1
44,URLLC,sat2,0.0035964306017,0.00330415412283,1.5774e-05,-0.000292276478873,0
45,URLLC,sat1,0.00390485862339,0.00388426527354,8.382e-06,-2.05933498537e-05,0
46,URLLC,sat2,0.00478068971763,0.00488396815768,2.145e-05,0.000103278440046,1
47,URLLC,sat2,0.0283048994537,0.00484465643823,2.1318e-05,-0.0234602430155,0
48,URLLC,sat2,0.00511931593144,0.00448175272683,2.0658e-05,-0.00063756320461,0
49,URLLC,sat1,0.00124781355298,0.0035854294553,9.9e-06,0.00233761590232,1
50,URLLC,sat2,0.00206134667804,0.00450824839061,1.3002e-05,0.00244690171257,1
51,URLLC,sat2,0.00192857419813,0.00433768085908,2.4486e-05,0.00240910666096,1
52,URLLC,sat1,0.00142595619163,0.00455922785076,1.419e-05,0.00313327165912,1
53,URLLC,sat1,0.00432545991607,0.00365411050906,2.0856e-05,-0.000671349407013,0
54,URLLC,sat1,0.00291831839227,0.00440962340658,1.1418e-05,0.00149130501431,1
55,URLLC,sat1,0.00353631982089,0.00478770940373,1.3068e-05,0.00125138958284,1
56,URLLC,sat1,0.00146199094158,0.00357497087515,8.118e-06,0.00211297993357,1
57,URLLC,sat2,0.002339676507,0.00313358545837,1.0428e-05,0.000793908951364,1
58,URLLC,sat1,0.00106784745954,0.0040813758734,8.514e-06,0.00301352841386,1
59,URLLC,sat1,0.00313254035757,0.00360707355003,2.5608e-05,0.000474533192451,1
60,URLLC,sat2,0.00103473213417,0.0038749024961,7.392e-06,0.00284017036193,1
61,URLLC,6G_2,0.00133858038011,0.00406110228579,1.2276e-05,0.00272252190568,1
62,URLLC,6G_2,0.00182744411623,0.00398783690707,6.6e-06,0.00216039279084,1
63,URLLC,6G_1,0.0010608575551,0.00315751280617,1.6434e-05,0.00209665525106,1
64,URLLC,sat1,0.00264666657518,0.00411076766239,1.3992e-05,0.00146410108721,1
65,URLLC,WiFi_2,0.00202238591782,0.00404164576054,2.5278e-05,0.00201925984271,1
66,URLLC,WiFi_2,0.000949203260345,0.00385244813064,1.2012e-05,0.00290324487029,1
67,URLLC,WiFi_1,0.00176580379771,0.00337214343931,2.574e-05,0.00160633964159,1
68,URLLC,6G_1,0.000936805462257,0.00392338890184,1.3266e-05,0.00298658343959,1
69,URLLC,6G_1,0.00154468380088,0.00376294857542,2.0196e-05,0.00221826477454,1
70,URLLC,WiFi_2,0.00120505904419,0.00325417495749,1.4784e-05,0.0020491159133,1
71,URLLC,WiFi_4,0.00264337876505,0.00303087384432,2.1318e-05,0.00038749507927,1
72,URLLC,6G_1,0.00205350180396,0.00349739539321,1.8678e-05,0.00144389358924,1
73,URLLC,6G_1,0.00077747783941,0.00391074447706,7.524e-06,0.00313326663765,1
