seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,35.52748150114111,28.743989227733145,26.79839637640542,26.71493469210148,24.727692007580444,24.67830097755433
1,31.782185423326688,26.76914244790294,26.70522256285714,26.703260099999998,26.703260099999998,26.703260099999998
2,38.616171652504846,28.86685713808374,28.82655990077245,28.81301777262962,28.787992132432592,28.766176613848966
3,31.458303908219477,24.75653302022166,24.745235414009077,24.70246441,24.693116311428575,24.67907881857143
4,37.12651305571619,28.86134020176285,26.73915019865839,26.649779275714288,26.647595477142858,26.647595477142858
average,34.90213110818166,27.59957240714087,26.7629128905405,26.716691250089077,26.311931205716895,26.294882397423514
