seed,urllc_outage_ratio,average_embb_delay
0,0.13333333333333333,0.14463834962590552
1,0.15,0.14505433499999995
2,0.16666666666666666,0.14610294356414943
3,0.13333333333333333,0.14465131364285716
4,0.15,0.14412659128571428
average,0.14666666666666667,0.14491470662372527
