seed,urllc_outage_ratio,average_embb_delay
0,0.4733333333333333,0.6620472765089266
1,0.52,0.5492994440091515
2,0.48,0.6066170644752613
3,0.5133333333333333,0.5611385116683802
4,0.52,0.5614274806466087
5,0.5266666666666666,0.4794145506395811
6,0.48,0.6020546982380784
7,0.5133333333333333,0.5347535963156131
8,0.5133333333333333,0.5632941915330741
9,0.5133333333333333,0.5186781968198898
average,0.5053333333333334,0.5638725010854564
