seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,0.0,253.16661200188238,244.2203596140264,244.2203596140264,241.30852966348186,241.307091476339
1,0.0,253.27448419728677,253.2629722102846,248.67741578592597,246.43071871637443,238.39491660137273
2,0.0,263.0584619082073,255.65505216454108,247.16633437343714,240.55702452237549,234.9925596712892
3,0.0,248.86114301628882,244.40667831911588,242.82240996309946,241.38817180902885,238.17077675025703
4,0.0,255.0086468142234,246.9061419476841,245.37472662408516,242.25599306689773,240.2141220969913
5,0.0,242.65961253651182,233.94387588578206,233.94387588578206,231.85264183555032,229.91218259593717
6,258.4976577335222,247.9097116111517,243.03520313159697,236.9640771611703,235.05045174852236,234.30820473571177
7,0.0,250.84589730213642,240.33420593151553,238.37093705695185,234.23075804824987,234.21303944734197
8,0.0,253.63283049292983,248.89911343142126,240.77944360158006,239.78112740346228,238.49412872996112
9,0.0,246.30717790548994,239.76366279124835,233.15104287674887,233.0846780733897,231.80172952298346
average,25.84976577335222,251.47245777861082,245.04272654272162,241.14706229428072,238.59400948873326,236.1808751628185
