case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,0,0,1925667.5123988173,13820970.71661857,9.164514132348744,69.34211207626731
sat60_user50,60.0,50.0,0,1,4308898.5722125,16300685.336248027,21.588440063366903,81.78325390604002
sat60_user50,60.0,50.0,1,0,3734984.6110423813,15719132.89320937,18.680587986482415,78.86550838834526
sat60_user50,60.0,50.0,1,1,3363690.581723786,15339333.825060925,16.786109199023848,76.95999315998576
sat60_user50,60.0,50.0,2,0,3054137.8537195222,15024348.331700534,15.193720794858177,75.37965842659264
sat60_user50,60.0,50.0,2,1,1133749.037787203,12858628.57496114,4.322118761566412,64.5138802000706
sat60_user50,60.0,50.0,3,0,3271950.4147428074,15246049.9988084,16.315644452379914,76.49197265316259
sat60_user50,60.0,50.0,3,1,4358416.957053484,16353030.016215833,21.838556739365554,82.04587588745925
sat60_user50,60.0,50.0,4,0,4029033.3405709243,16015328.04799417,20.17279532673015,80.35156884069639
sat60_user50,60.0,50.0,4,1,3099837.3802871257,15069716.665731333,15.429752050170984,75.60727892296114
sat60_user50,60.0,50.0,5,0,2431466.9813297126,14372552.923841652,11.929111398068992,72.10949213854073
sat60_user50,60.0,50.0,5,1,2868437.9342964124,14838401.656671954,14.230491221398884,74.44673295014438
sat60_user50,60.0,50.0,6,0,3220342.892671632,15198260.173574654,16.050484582746954,76.25220313291871
sat60_user50,60.0,50.0,6,1,1400588.7291489798,13203017.81580446,6.067158782764999,66.24173889888277
sat60_user50,60.0,50.0,7,0,1975204.8501854257,13877641.423837315,9.442233021811493,69.6264384874296
sat60_user50,60.0,50.0,7,1,3841282.0151261254,15827695.111496655,19.22069477726333,79.41018312999734
sat60_user50,60.0,50.0,8,0,2956533.278057588,14920963.662192415,14.688316702357376,74.86096030039947
sat60_user50,60.0,50.0,8,1,2564181.796372443,14513317.877887476,12.634375634171404,72.81573340374402
sat60_user50,60.0,50.0,9,0,4340885.587959498,16330090.86872519,21.75001703365345,81.93078636223704
sat60_user50,60.0,50.0,9,1,3912474.0938376347,15897082.90138716,19.58197819396278,79.7583132353273
sat60_user50,60.0,50.0,10,0,3960811.4893285385,15949421.046222929,19.827091199167718,80.02090242990404
sat60_user50,60.0,50.0,10,1,3468785.6704091816,15446898.220129937,17.32378348997952,77.49966165989218
sat60_user50,60.0,50.0,11,0,4624861.098353606,16614782.588855905,23.1828798409113,83.35913215798263
sat60_user50,60.0,50.0,11,1,2684035.9312365437,14639199.639012845,13.266212804149369,73.44730320124276
sat60_user50,60.0,50.0,12,0,2763728.758442141,14721266.577178968,13.684013811453635,73.85904671967567
sat60_user50,60.0,50.0,12,1,1938188.8335316372,13836150.517948225,9.234889082330396,69.41827167719246
sat60_user50,60.0,50.0,13,0,4016208.335142066,16001183.50738845,20.10782713665478,80.2806033234164
sat60_user50,60.0,50.0,13,1,4233381.804990454,16222970.683663383,21.206812745664706,81.39334654449128
sat60_user50,60.0,50.0,14,0,3975367.951675919,15965146.027011259,19.90087696140192,80.09979727899092
