seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,52.43191944893097,39.51729424625734,37.23030119413441,36.25196509235328,36.22882955945118,34.53294476336019
1,44.73428943941266,42.442848888268955,40.72672514736633,39.1789280809839,37.93812802071776,37.52498705950684
2,49.36785265710416,40.91006898420706,36.061445603201804,30.608121446766013,30.11212418128779,30.105392727603515
3,50.99103218443497,41.69812812161237,38.64254719272127,38.15751438717892,36.48231356080551,35.406770959307636
4,44.80546096001265,38.657494072664676,38.32355809703337,33.41283223871917,31.173777599987837,31.149239117014687
5,53.09353939352563,40.022227092501524,34.49966126982435,34.43898812737288,33.15104666966636,33.10329778543477
6,50.96427072835242,42.636010226365755,38.12739413577412,37.096299077528016,31.671575059874662,31.64565706994694
7,49.59715219701758,41.78704821610903,38.988766135280876,35.626358410652465,35.37700225297927,34.167489520771625
8,54.02907802780346,39.73325270454263,35.47910922206904,35.17213861572102,32.45976225601267,32.2701680937249
9,49.50659742309624,38.149189925970674,35.81751924384392,34.70752697565362,32.33778576886296,30.241360770975646
average,49.95211924596907,40.55535624785,37.389702724124945,35.46506724529293,33.6932344929646,33.01473078676467
