seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.15,0.27554907938933654,0.28777453969466826,34.53294476336019,0.0,18.0
1,0.16666666666666666,0.29208311765844736,0.31270822549589034,37.52498705950684,0.0,20.0
2,0.15,0.20175654546005858,0.2508782727300293,30.105392727603515,0.0,18.0
3,0.16666666666666666,0.25677951598846066,0.295056424660897,35.406770959307636,0.0,20.0
4,0.13333333333333333,0.2524873186169115,0.2595769926417891,31.149239117014687,0.0,16.0
5,0.15,0.2517216297572461,0.2758608148786231,33.10329778543477,0.0,18.0
6,0.11666666666666667,0.2940942844991156,0.2637138089162245,31.64565706994694,0.0,14.0
7,0.13333333333333333,0.30279149201286043,0.28472907933976355,34.167489520771625,0.0,16.0
8,0.16666666666666666,0.20450280156208162,0.26891806744770747,32.2701680937249,0.0,20.0
9,0.11666666666666667,0.27068934618292745,0.2520113397581304,30.241360770975646,0.0,14.0
