user_id,user_type,selection_reason,communication_delay,queue_delay,processing_delay,total_delay,deadline,violation,bottleneck_reason
75,URLLC,outage,0.009362692887083399,2.0,2.178e-05,2.0,0.0043758596052047,1.9956241403947954,urlLC_outage
76,URLLC,outage,0.006236597567133438,2.0,8.514e-06,2.0,0.0042112302823934,1.9957887697176067,urlLC_outage
77,URLLC,outage,0.006787569763614975,2.0,1.6302e-05,2.0,0.0030343856033645,1.9969656143966354,urlLC_outage
78,URLLC,outage,0.006905251613620431,2.0,1.3992e-05,2.0,0.0031489181394133,1.9968510818605867,urlLC_outage
79,URLLC,outage,0.007160043920943562,2.0,1.5642e-05,2.0,0.0043548492476828,1.9956451507523172,urlLC_outage
80,URLLC,outage,0.004700473435723289,2.0,2.2704e-05,2.0,0.0048814377333661,1.9951185622666339,urlLC_outage
81,URLLC,outage,0.0015914773574173895,2.0,8.448e-06,2.0,0.0037887313111144,1.9962112686888855,urlLC_outage
82,URLLC,outage,0.0008452773574173894,2.0,1.98e-05,2.0,0.004584380269836,1.995415619730164,urlLC_outage
83,URLLC,outage,0.0034304773574173894,2.0,2.4816e-05,2.0,0.0037273297612406,1.9962726702387594,urlLC_outage
84,URLLC,outage,0.0006512773574173893,2.0,1.2342e-05,2.0,0.0035467472257072,1.9964532527742929,urlLC_outage
85,URLLC,outage,0.0008924773574173893,2.0,7.788e-06,2.0,0.0040436696049943,1.9959563303950056,urlLC_outage
86,URLLC,outage,0.003227477357417389,2.0,2.2704e-05,2.0,0.0043095245236942,1.9956904754763058,urlLC_outage
87,URLLC,outage,0.0007852773574173893,2.0,1.2936e-05,2.0,0.0033211993189011,1.996678800681099,urlLC_outage
88,URLLC,outage,0.00011067735741738925,2.0,6.666e-06,2.0,0.0032542806249839,1.996745719375016,urlLC_outage
89,URLLC,outage,0.0005040773574173892,2.0,7.392e-06,2.0,0.0038858453032176,1.9961141546967824,urlLC_outage
90,URLLC,outage,3.187735741738926e-05,2.0,7.392e-06,2.0,0.0049938002729954,1.9950061997270045,urlLC_outage
91,URLLC,outage,0.00034447735741738924,2.0,1.4718e-05,2.0,0.0035630610178514,1.9964369389821486,urlLC_outage
92,URLLC,outage,0.0005314773574173892,2.0,9.042e-06,2.0,0.0032232057934324,1.9967767942065675,urlLC_outage
93,URLLC,outage,0.0021570773574173894,2.0,1.4784e-05,2.0,0.0049510820083156,1.9950489179916844,urlLC_outage
94,URLLC,outage,0.00017187735741738925,2.0,1.1088e-05,2.0,0.0047445398541601,1.9952554601458399,urlLC_outage
95,URLLC,outage,0.0006138773574173893,2.0,6.666e-06,2.0,0.0039243904793191,1.9960756095206809,urlLC_outage
96,URLLC,outage,0.0014264773574173895,2.0,8.91e-06,2.0,0.0030062865359591,1.996993713464041,urlLC_outage
97,URLLC,outage,0.004071077357417389,2.0,1.815e-05,2.0,0.0045350536041951,1.995464946395805,urlLC_outage
98,URLLC,outage,0.00021667735741738925,2.0,7.392e-06,2.0,0.0040216043869152,1.9959783956130848,urlLC_outage
99,URLLC,outage,0.0010276773574173894,2.0,2.1912e-05,2.0,0.0037623560606743,1.9962376439393257,urlLC_outage
100,URLLC,outage,0.005687919236925203,2.0,1.2012e-05,2.0,0.0040906199404265,1.9959093800595735,urlLC_outage
101,URLLC,outage,0.002888677357417389,2.0,7.59e-06,2.0,0.0035204883227038,1.9964795116772962,urlLC_outage
102,URLLC,outage,0.01024598408759035,2.0,2.4354e-05,2.0,0.0047412181457134,1.9952587818542866,urlLC_outage
103,URLLC,outage,0.006164989271611251,2.0,2.0922e-05,2.0,0.0031219225436638,1.9968780774563362,urlLC_outage
104,URLLC,outage,0.004208277357417389,2.0,2.2638e-05,2.0,0.004367891050089,1.995632108949911,urlLC_outage
105,URLLC,outage,0.0005734773574173893,2.0,6.93e-06,2.0,0.0046005988275238,1.9953994011724763,urlLC_outage
106,URLLC,outage,0.0023614773574173894,2.0,2.3826e-05,2.0,0.0034514776095502,1.9965485223904498,urlLC_outage
107,URLLC,outage,0.00038947735741738925,2.0,1.485e-05,2.0,0.0045476291322108,1.9954523708677891,urlLC_outage
108,URLLC,outage,0.0024810773574173895,2.0,1.9734e-05,2.0,0.0038874277542583,1.9961125722457418,urlLC_outage
109,URLLC,outage,0.00042927735741738924,2.0,1.3134e-05,2.0,0.0030533675009878,1.9969466324990122,urlLC_outage
110,URLLC,outage,0.0012586773574173895,2.0,1.353e-05,2.0,0.0039098657085026,1.9960901342914974,urlLC_outage
111,URLLC,outage,0.004279877357417389,2.0,1.1814e-05,2.0,0.004918476473775,1.995081523526225,urlLC_outage
112,URLLC,outage,0.0037022773574173894,2.0,1.3926e-05,2.0,0.0046741824931427,1.9953258175068573,urlLC_outage
113,URLLC,outage,0.002939877357417389,2.0,1.6896e-05,2.0,0.0044274272152445,1.9955725727847555,urlLC_outage
114,URLLC,outage,0.00180007735741739,2.0,8.778e-06,2.0,0.0033030258557983,1.9966969741442018,urlLC_outage
115,URLLC,outage,0.0009612773574173893,2.0,1.1022e-05,2.0,0.0034847749598748,1.9965152250401252,urlLC_outage
116,URLLC,outage,6.827735741738925e-05,2.0,1.2012e-05,2.0,0.0046903136392723,1.9953096863607278,urlLC_outage
117,URLLC,outage,0.004345077357417388,2.0,2.1516e-05,2.0,0.0048414729016959,1.995158527098304,urlLC_outage
118,URLLC,outage,0.003158677357417389,2.0,1.9932e-05,2.0,0.0044679624561389,1.995532037543861,urlLC_outage
119,URLLC,outage,0.0014924773574173896,2.0,1.089e-05,2.0,0.0034540536941704,1.9965459463058297,urlLC_outage
239,eMBB,top_20_percent_delay,0.010308354580522308,0.0,0.0038777828571428573,0.7226915608421586,2.0,0.0,communication_delay
238,eMBB,top_20_percent_delay,0.01308478030436516,0.037798485190198766,0.00469392,0.5853306881954111,2.0,0.0,queue_delay
237,eMBB,top_20_percent_delay,0.012023635623508418,0.03177122376162733,0.004349635714285714,0.5793030967668397,2.0,0.0,queue_delay
236,eMBB,top_20_percent_delay,0.014062721446315663,0.02574617804734162,0.004274678571428572,0.5732758353382682,2.0,0.0,queue_delay
235,eMBB,top_20_percent_delay,0.026027342087254022,0.019724526618770194,0.0053394471428571426,0.5672507896239826,2.0,0.0,communication_delay
234,eMBB,top_20_percent_delay,0.020664212921691592,0.013740306618770196,0.0037376271428571427,0.5612291381954111,2.0,0.0,communication_delay
233,eMBB,top_20_percent_delay,0.015507665730092107,0.007763535190198766,0.005117168571428571,0.5552449181954111,2.0,0.0,communication_delay
232,eMBB,top_20_percent_delay,0.026789162210658274,0.0031611666187701948,0.005410821428571429,0.5492681467668397,2.0,0.0,communication_delay
231,eMBB,top_20_percent_delay,0.01798709005928525,0.003946603442343655,0.005562008571428571,0.5446657781954111,2.0,0.0,communication_delay
230,eMBB,top_20_percent_delay,0.012843402064249197,0.010114976089656193,0.004156585714285714,0.5389674796239825,2.0,0.0,communication_delay
229,eMBB,top_20_percent_delay,0.016305996663022522,0.004463443232513337,0.006027591428571429,0.5329931596239825,2.0,0.0,communication_delay
228,eMBB,top_20_percent_delay,0.017302580506101353,9.60346610847651e-05,0.004653188571428571,0.5273416267668397,2.0,0.0,communication_delay
227,eMBB,top_20_percent_delay,0.023005978954950042,0.005707736044930023,0.0054615471428571425,0.5229742181954111,2.0,0.0,communication_delay
