rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,163247064.1412745,55577131.084558405,107669933.05671611,300000000.0,0.544156880470915,0.18525710361519468,0.3588997768557204,22,40
1,6G_2,6G,uplink,141801561.57027394,50055512.979622364,91746048.59065156,300000000.0,0.47267187190091314,0.16685170993207454,0.30582016196883854,21,40
2,WiFi_1,WiFi,uplink,38193137.509242065,10496426.069319151,27696711.439922914,160000000.0,0.2387071094327629,0.0656026629332447,0.1731044464995182,9,20
3,WiFi_2,WiFi,uplink,36842645.08252352,9648470.040766709,27194175.04175681,160000000.0,0.23026653176577197,0.06030293775479193,0.16996359401098005,9,20
4,WiFi_3,WiFi,uplink,40356961.28476016,13195987.40858031,27160973.87617985,160000000.0,0.252231008029751,0.08247492130362694,0.16975608672612408,9,20
5,WiFi_4,WiFi,uplink,36114927.2843305,11656388.133535154,24458539.150795348,160000000.0,0.22571829552706563,0.07285242583459471,0.15286586969247093,9,20
6,Satellite_1,Satellite,uplink,16979541.48186855,4719739.236245948,12259802.245622601,20000000.0,0.8489770740934275,0.2359869618122974,0.6129901122811301,20,40
7,Satellite_2,Satellite,uplink,19619357.783844907,6294747.012489946,13324610.771354962,20000000.0,0.9809678891922453,0.31473735062449726,0.666230538567748,21,40
8,Satellite_1_down,Satellite,downlink,9266197.935128529,0.0,9266197.935128529,10000000.0,0.9266197935128528,0.0,0.9266197935128528,0,40
9,Satellite_2_down,Satellite,downlink,9642034.590652,0.0,9642034.590652,10000000.0,0.9642034590652,0.0,0.9642034590652,0,40
