outer_iteration,seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,42,0.18333333333333332,0.16738465762261664,0.26702566214464163,32.043079457356995,0.0,22.0
1,42,0.03333333333333333,0.14794479395238094,0.1073057303095238,12.876687637142856,0.0,4.
2,42,0.05,0.14772953629239227,0.12386476814619614,14.863772177543536,0.0,6.0
3,42,0.05,0.14807603573809527,0.12403801786904764,14.884562144285717,0.0,6.0
4,42,0.03333333333333333,0.14783133052380953,0.1072489985952381,12.869879831428571,0.0,4.0
