seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.06666666666666667,0.1717515332931815,0.1525424333132574,18.30509199759089,0.0,8.0
1,0.05,0.15878827749348534,0.12939413874674266,15.52729664960912,0.0,6.0
2,0.06666666666666667,0.1744862762145646,0.15390980477394897,18.469176572873877,0.0,8.0
3,0.05,0.17576315352028166,0.13788157676014082,16.5457892112169,0.0,6.0
4,0.06666666666666667,0.14240161692950185,0.13786747513141762,16.544097015770113,0.0,8.0
5,0.06666666666666667,0.16252970931382618,0.14793152132357976,17.75178255882957,0.0,8.0
6,0.03333333333333333,0.21915265018854546,0.14290965842760606,17.149159011312726,0.0,4.0
7,0.08333333333333333,0.14855660568962598,0.1576116361781463,18.913396341377556,0.0,10.0
8,0.05,0.20347376605932613,0.1517368830296631,18.20842596355957,0.0,6.0
9,0.05,0.1797723502296652,0.1398861751148326,16.78634101377991,0.0,6.0
