seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.18333333333333332,0.16293037581599884,0.26479852124133274,31.77582254895993,0.0,22.0
1,0.18333333333333332,0.15306925445496192,0.2598679605608143,31.184155267297715,0.0,22.0
2,0.18333333333333332,0.15719273342442044,0.26192970004554356,31.431564005465226,0.0,22.0
3,0.16666666666666666,0.15650551011341024,0.24491942172337178,29.390330606804614,0.0,20.0
4,0.18333333333333332,0.15377890676722666,0.26022278671694665,31.2267344060336,0.0,22.0
5,0.18333333333333332,0.15361219697387446,0.26013943182027055,31.216731818432468,0.0,22.0
6,0.18333333333333332,0.1615549372312449,0.2641108019489558,31.693296233874694,0.0,22.0
7,0.18333333333333332,0.16760801566321334,0.26713734116494,32.0564809397928,0.0,22.0
8,0.18333333333333332,0.1610576609407304,0.26386216380369854,31.663459656443823,0.0,22.0
9,0.16666666666666666,0.1567185464462915,0.24502593988981242,29.40311278677749,0.0,20.0
