rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,216325297.94818786,94983756.86850935,121341541.0796785,300000000.0,0.7210843264939595,0.31661252289503117,0.40447180359892837,35,50
1,6G_2,6G,uplink,213688715.73126918,101076325.65718457,112612390.07408462,300000000.0,0.7122957191042306,0.33692108552394856,0.37537463358028206,35,50
2,WiFi_1,WiFi,uplink,41184791.83083021,9102210.372751117,32082581.458079092,160000000.0,0.2574049489426888,0.05688881482969448,0.20051613411299432,8,25
3,WiFi_2,WiFi,uplink,45781489.93402225,14643490.692521984,31137999.241500262,160000000.0,0.28613431208763906,0.0915218168282624,0.19461249525937663,8,25
4,WiFi_3,WiFi,uplink,31903921.503789004,5098032.4626733,26805889.041115705,160000000.0,0.19939950939868128,0.031862702891708124,0.16753680650697317,7,25
5,WiFi_4,WiFi,uplink,41543005.23901178,7579587.381004166,33963417.85800761,160000000.0,0.2596437827438236,0.04737242113127604,0.21227136161254756,7,25
6,Satellite_1,Satellite,uplink,15007392.824174907,7237613.105601675,7769779.718573233,20000000.0,0.7503696412087454,0.36188065528008373,0.38848898592866166,24,25
7,Satellite_2,Satellite,uplink,16089432.029146027,8413169.358390447,7676262.670755579,20000000.0,0.8044716014573013,0.4206584679195223,0.38381313353777896,26,25
8,Satellite_1_down,Satellite,downlink,8775415.184770968,0.0,8775415.184770968,10000000.0,0.8775415184770968,0.0,0.8775415184770968,0,25
9,Satellite_2_down,Satellite,downlink,7676097.536535029,0.0,7676097.536535029,10000000.0,0.7676097536535029,0.0,0.7676097536535029,0,25
