seed,urllc_outage_ratio,average_embb_delay
0,0.2,0.2457473972816468
0,0.25,0.2293689803750055
0,0.2,0.1698296707031063
1,0.1666666666666666,0.184781918068612
1,0.2666666666666666,0.2384005815279825
1,0.1666666666666666,0.1435489694680763
2,0.1833333333333333,0.1577090919114345
2,0.15,0.1447163211829826
3,0.2,0.2101877536125271
3,0.1833333333333333,0.1501765439357313
4,0.2166666666666666,0.1784908028905996
4,0.1666666666666666,0.1463118410308012
5,0.2,0.1795494181419563
5,0.2,0.1602773202228734
6,0.1833333333333333,0.1607146155874581
6,0.1333333333333333,0.1443173363174385
7,0.1833333333333333,0.2165000996320318
7,0.2,0.1926602330693333
8,0.1833333333333333,0.1440296300952381
8,0.1833333333333333,0.1510870299017951
9,0.15,0.1561625987061104
9,0.1833333333333333,0.150774831713721
average,0.1886363636363636,0.17524286297165736
