seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,73.63479297593908,56.95131691630897,54.69179798898879,49.36024872218263,48.997587115248486,45.44839231531165
1,67.85615520716148,58.3273032166739,53.12697638438821,49.04074000447159,45.63994980424293,45.6277980553069
2,76.89493518003275,61.363155611893006,53.39483776350869,49.80809227498385,47.717597757806644,45.05812682570527
3,82.40363748556639,53.823500881910704,53.8074586406983,48.723481210726675,47.00366154417574,47.00362769560431
4,80.04111960344805,60.49213064404531,56.45705104879487,51.74310337268399,50.58418970563996,50.45106898900408
5,81.71189287832472,55.929088076839975,49.27113940752578,49.27023204699029,47.06221020004583,47.06221020004583
6,81.52360719276118,60.133811750270496,54.63973934396202,52.92537849768938,49.77877582061886,48.884075053008836
7,79.07619015668926,57.50107289013703,51.64015756687354,51.322361054991745,47.49303972634968,46.612472633502676
8,77.67029102134704,55.98168773048877,51.11420948855,48.14646354683454,47.84209902911224,46.624693018912225
9,77.77637132548163,58.98516603919661,56.88005228087947,52.84438434031455,49.25600161434206,49.25332621005634
average,77.85889930267516,57.948823375776485,53.50234199141697,50.31844850718692,48.137511231758246,47.20257909964581
