seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.32222222222222224,0.11115726109047748,0.5111226486059527,61.334717832714325,0.0,58.0
1,0.3111111111111111,0.10841198478712331,0.4937696628634475,59.2523595436137,0.0,56.0
2,0.3333333333333333,0.09274638436757346,0.5231865960918933,62.7823915310272,0.0,60.0
3,0.3,0.0832102585412086,0.4708025646353021,56.496307756236256,0.0,54.0
4,0.3,0.08679570098957035,0.4716989252473926,56.60387102968711,0.0,54.0
5,0.32222222222222224,0.10272294783358642,0.50901407029173,61.08168843500759,0.0,58.0
6,0.34444444444444444,0.16014334318330278,0.5567025024624924,66.80430029549909,0.0,62.0
7,0.3,0.10070782034990142,0.4751769550874753,57.02123461049704,0.0,54.0
8,0.32222222222222224,0.08612226839620228,0.5048639004323839,60.58366805188607,0.0,58.0
9,0.37777777777777777,0.20090662927628664,0.6168933239857384,74.0271988782886,0.0,68.0
