rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,144494338.2239655,53181327.109818846,91313011.11414665,300000000.0,0.481647794079885,0.1772710903660628,0.30437670371382214,19,32
1,6G_2,6G,uplink,105416321.08019355,36950483.320385434,68465837.75980812,300000000.0,0.3513877369339785,0.12316827773461811,0.2282194591993604,14,28
2,WiFi_1,WiFi,uplink,28403986.200520486,3394116.7596484963,25009869.44087199,160000000.0,0.17752491375325302,0.0212132297478031,0.15631168400544995,4,18
3,WiFi_2,WiFi,uplink,37924538.96140338,13529795.63622201,24394743.325181365,160000000.0,0.2370283685087711,0.08456122272638757,0.15246714578238355,10,18
4,WiFi_3,WiFi,uplink,22837192.17878451,7269646.170114905,15567546.008669604,160000000.0,0.14273245111740318,0.04543528856321816,0.09729716255418502,4,13
5,WiFi_4,WiFi,uplink,27772296.757791005,9627035.691675663,18145261.066115342,160000000.0,0.17357685473619378,0.06016897307297289,0.11340788166322088,8,11
6,Satellite_1,Satellite,uplink,9734931.517785758,4361482.548017733,5373448.969768026,20000000.0,0.4867465758892879,0.21807412740088664,0.26867244848840127,16,16
7,Satellite_2,Satellite,uplink,10748985.06732285,4686779.070958031,6062205.99636482,20000000.0,0.5374492533661425,0.23433895354790157,0.303110299818241,15,18
8,Satellite_1_down,Satellite,downlink,5911803.293642526,0.0,5911803.293642526,10000000.0,0.5911803293642526,0.0,0.5911803293642526,0,16
9,Satellite_2_down,Satellite,downlink,6294993.090843817,0.0,6294993.090843817,10000000.0,0.6294993090843817,0.0,0.6294993090843817,0,18
