user_id,user_type,rat_id,rat_name,rat_type,selected,uplink_rate,downlink_rate,effective_e2e_rate
0,URLLC,1,6G_2,6G,1,23745084.613349196,40000000.0,23745084.613349196
1,URLLC,3,WiFi_2,WiFi,1,8143979.181697139,20000000.0,8143979.181697139
2,URLLC,0,6G_1,6G,1,10590986.475891659,40000000.0,10590986.475891659
3,URLLC,1,6G_2,6G,1,26392936.310371827,40000000.0,26392936.310371827
4,URLLC,3,WiFi_2,WiFi,1,42150234.88253352,20000000.0,20000000.0
5,URLLC,3,WiFi_2,WiFi,1,21234522.63740455,20000000.0,20000000.0
6,URLLC,1,6G_2,6G,1,80599062.82306877,40000000.0,40000000.0
7,URLLC,0,6G_1,6G,1,50687806.29196164,40000000.0,40000000.0
8,URLLC,0,6G_1,6G,1,88963257.0646366,40000000.0,40000000.0
9,URLLC,1,6G_2,6G,1,86595425.01984307,40000000.0,40000000.0
10,URLLC,1,6G_2,6G,1,41859891.0218189,40000000.0,40000000.0
11,URLLC,0,6G_1,6G,1,53709783.861975774,40000000.0,40000000.0
12,URLLC,2,WiFi_1,WiFi,1,2298100.599012968,20000000.0,2298100.599012968
13,URLLC,0,6G_1,6G,1,55103987.26176795,40000000.0,40000000.0
14,URLLC,3,WiFi_2,WiFi,1,53518956.01903302,20000000.0,20000000.0
15,URLLC,0,6G_1,6G,1,24922171.086586244,40000000.0,24922171.086586244
16,URLLC,0,6G_1,6G,1,66273412.39578045,40000000.0,40000000.0
17,URLLC,0,6G_1,6G,1,42230472.427172616,40000000.0,40000000.0
18,URLLC,0,6G_1,6G,1,98069931.8643322,40000000.0,40000000.0
19,URLLC,1,6G_2,6G,1,58418305.17975996,40000000.0,40000000.0
20,URLLC,2,WiFi_1,WiFi,1,21942604.970637582,20000000.0,20000000.0
21,URLLC,5,WiFi_4,WiFi,1,16910458.738872252,20000000.0,16910458.738872252
22,URLLC,1,6G_2,6G,1,87116076.58642685,40000000.0,40000000.0
23,URLLC,4,WiFi_3,WiFi,1,38310766.57735281,20000000.0,20000000.0
24,URLLC,0,6G_1,6G,1,41227768.248792924,40000000.0,40000000.0
25,URLLC,3,WiFi_2,WiFi,1,19313045.60013062,20000000.0,19313045.60013062
26,URLLC,5,WiFi_4,WiFi,1,12053578.77907876,20000000.0,12053578.77907876
27,URLLC,4,WiFi_3,WiFi,1,43602128.08574875,20000000.0,20000000.0
28,URLLC,5,WiFi_4,WiFi,1,44126028.94955844,20000000.0,20000000.0
29,URLLC,2,WiFi_1,WiFi,1,55132278.80343346,20000000.0,20000000.0
30,URLLC,7,Satellite_2,Satellite,1,9226237.775219025,14411738.088085657,9226237.775219025
31,URLLC,6,Satellite_1,Satellite,1,609606.5044033207,14411738.088085657,609606.5044033207
32,URLLC,7,Satellite_2,Satellite,1,9001928.011625785,14411738.088085657,9001928.011625785
33,URLLC,6,Satellite_1,Satellite,1,1558116.1832452859,14411738.088085657,1558116.1832452859
34,URLLC,6,Satellite_1,Satellite,1,7850762.211378292,14411738.088085657,7850762.211378292
35,URLLC,7,Satellite_2,Satellite,1,2690847.3265496762,14411738.088085657,2690847.3265496762
36,URLLC,7,Satellite_2,Satellite,1,3762214.653994223,14411738.088085657,3762214.653994223
37,URLLC,6,Satellite_1,Satellite,1,10459921.332017854,14411738.088085657,10459921.332017854
38,URLLC,7,Satellite_2,Satellite,1,8904277.31854477,14411738.088085657,8904277.31854477
39,URLLC,7,Satellite_2,Satellite,1,6585991.763359381,14411738.088085657,6585991.763359381
40,URLLC,6,Satellite_1,Satellite,1,6113621.923964946,14411738.088085657,6113621.923964946
41,URLLC,7,Satellite_2,Satellite,1,5503043.449000623,14411738.088085657,5503043.449000623
42,URLLC,6,Satellite_1,Satellite,1,1582669.6143324075,14411738.088085657,1582669.6143324075
43,URLLC,7,Satellite_2,Satellite,1,3024045.4201615457,14411738.088085657,3024045.4201615457
44,URLLC,6,Satellite_1,Satellite,1,8805285.079894472,14411738.088085657,8805285.079894472
45,URLLC,7,Satellite_2,Satellite,1,10675801.387995334,14411738.088085657,10675801.387995334
46,URLLC,7,Satellite_2,Satellite,1,9488357.680291036,14411738.088085657,9488357.680291036
47,URLLC,7,Satellite_2,Satellite,1,6796505.3372221785,14411738.088085657,6796505.3372221785
48,URLLC,6,Satellite_1,Satellite,1,2259904.0751265963,14411738.088085657,2259904.0751265963
49,URLLC,7,Satellite_2,Satellite,1,7997887.757423639,14411738.088085657,7997887.757423639
50,URLLC,7,Satellite_2,Satellite,1,3153216.708083677,14411738.088085657,3153216.708083677
51,URLLC,6,Satellite_1,Satellite,1,8246947.107558419,14411738.088085657,8246947.107558419
52,URLLC,6,Satellite_1,Satellite,1,4253400.737361087,14411738.088085657,4253400.737361087
53,URLLC,6,Satellite_1,Satellite,1,6745793.275902791,14411738.088085657,6745793.275902791
54,URLLC,6,Satellite_1,Satellite,1,6965931.082473382,14411738.088085657,6965931.082473382
55,URLLC,6,Satellite_1,Satellite,1,7872175.418762891,14411738.088085657,7872175.418762891
56,URLLC,7,Satellite_2,Satellite,1,2872055.036987053,14411738.088085657,2872055.036987053
57,URLLC,6,Satellite_1,Satellite,1,9181106.912386546,14411738.088085657,9181106.912386546
