seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.25555555555555554,0.21067384725035668,0.3608924791807339,64.9606462525321,0.0,46.0
1,0.25555555555555554,0.2112023897648358,0.36115675043797346,65.00821507883522,0.0,46.0
2,0.26666666666666666,0.21004577714285716,0.3716895552380952,66.90411994285714,0.0,48.0
3,0.26666666666666666,0.21227987342385185,0.37280660337859256,67.10518860814666,0.0,48.0
4,0.28888888888888886,0.21161399642857145,0.3946958871031746,71.04525967857143,0.0,52.0
0,0.0,0.2074475018095238,0.15558562635714285,18.67027516285714,0.0,0.0
1,0.0,0.20709743221066038,0.1553230741579953,18.638768898959434,0.0,0.0
2,0.0,0.20743070278158904,0.15557302708619178,18.668763250343012,0.0,0.0
3,0.0,0.20680498090476185,0.15510373567857139,18.612448281428566,0.0,0.0
4,0.0,0.20688068671428575,0.15516051503571432,18.619261804285717,0.0,0.0
