seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,42.83027887518277,33.03015924282755,31.867187756809493,27.37135534020315,26.12162905797109,23.527083578191053
1,43.81591059305503,31.108464701198386,29.085340220968625,25.377228810650237,23.282984349206245,23.282910664920532
2,48.636874637335914,32.32985885167213,28.17140731390738,27.744942842014993,26.251020210781576,26.188245752571497
3,46.62769217012095,30.933626127629395,25.57511539989747,20.513184625082786,20.422017212770484,20.36066694231268
4,45.737029617473496,37.13346363861085,31.52768196073447,28.408156474890895,27.313349983187585,24.163504623570468
5,40.66647188486082,29.903864908200482,26.489819328475562,26.447009550652297,24.39935029165049,22.15664829189106
6,43.61973431870771,31.36929696053165,25.993892065534986,23.629100726573462,23.38067409092352,22.746469290826205
7,44.78796014263626,34.26803069733044,29.184754401249126,26.43081251642414,24.954694932881043,24.33809779123966
8,45.73583039440463,34.35745094966278,29.715549632079103,28.72923166386964,26.13297558979847,25.163798829017917
9,46.56078269568921,32.43227052887521,29.731817473221923,24.362725106038177,24.069203386339137,22.564384572352928
average,44.90185653294668,32.68664866065389,28.73425655528781,25.90137476563998,24.63278991055096,23.449181033689403
