seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.08333333333333333,0.2254513929698509,0.1960590298182588,23.527083578191053,0.0,10.0
1,0.11666666666666667,0.15471517774867555,0.19402425554100444,23.282910664920532,0.0,14.0
2,0.1,0.2364707625428583,0.21823538127142914,26.188245752571497,0.0,12.0
3,0.08333333333333333,0.172677782371878,0.16967222451927233,20.36066694231268,0.0,10.0
4,0.08333333333333333,0.23605841039284112,0.2013625385297539,24.163504623570468,0.0,10.0
5,0.1,0.16927747153151768,0.18463873576575882,22.15664829189106,0.0,12.0
6,0.1,0.17910782151377005,0.18955391075688505,22.746469290826205,0.0,12.0
7,0.1,0.20563496318732766,0.20281748159366383,24.33809779123966,0.0,12.0
8,0.1,0.21939664715029863,0.2096983235751493,25.163798829017917,0.0,12.0
9,0.1,0.17607307620588217,0.18803653810294108,22.564384572352928,0.0,12.0
