seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,36.67225255203954,24.52735846142857,24.527323009999996,24.527323009999996,24.527323009999996,24.527323009999996
1,38.28984438249147,28.944955990888197,22.46318254614627,20.458928638888302,20.458174150095864,20.457672131567435
2,32.62593754345943,14.461896919456102,14.454110490142538,14.453022209680965,14.452864247527799,14.452854481425284
3,32.634925512953956,20.898510040069176,18.509942109184017,18.509477574296888,18.50947626635717,18.509476080625756
4,36.50662648512627,36.294082555938374,26.587494395021125,26.55716911114346,24.54650455474745,22.538356345878473
5,28.509553894672326,26.47283376567811,22.454226480774203,22.45339428071251,22.453224716634807,22.45296353852978
6,38.584041125735205,30.542584324556785,26.57001335745905,22.55205286522314,20.52142439473275,20.518785061787902
7,36.50587080428571,32.652401220799234,26.803198869584477,24.67628740958163,24.577475696793,24.523762586852584
8,34.56108856654588,20.4741281060812,18.472178156904207,18.471795829125725,18.47130852577192,18.470898610699656
9,38.57320615991221,30.580376419817874,22.596207808215404,22.504072155714283,22.504072155714283,22.503971175714284
average,35.3463347027222,26.584912780471363,22.34378772234313,21.516352308436687,21.102184771837504,20.895606302308117
