seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.13333333333333333,0.14212205016666662,0.20439435841666664,24.527323009999996,0.0,16.0
1,0.1,0.1409612021927906,0.1704806010963953,20.457672131567435,0.0,12.0
2,0.05,0.14088090802375472,0.12044045401187736,14.452854481425284,0.0,6.0
3,0.08333333333333333,0.1418246013437626,0.15424563400521463,18.509476080625756,0.0,10.0
4,0.11666666666666667,0.14230593909797454,0.18781963621565395,22.538356345878473,0.0,14.0
5,0.11666666666666667,0.14088272564216303,0.18710802948774816,22.45296353852978,0.0,14.0
6,0.1,0.14197975102979837,0.1709898755148992,20.518785061787902,0.0,12.0
7,0.13333333333333333,0.14206270978087643,0.20436468822377155,24.523762586852584,0.0,16.0
8,0.08333333333333333,0.1411816435116609,0.1539241550891638,18.470898610699656,0.0,10.0
9,0.11666666666666667,0.14173285292857143,0.18753309313095237,22.503971175714284,0.0,14.0
